Job Title,Location,Company,Link
Sr .Net Developer- B1 US Visa || Immediate Joiner,"Delhi, India (Hybrid)",IGT Solutions,https://www.linkedin.com/jobs/view/3721171714/?eBP=CwEAAAGLQswhwplAIdlVaTQrt7eCbRU-l2LshmJtNT7k-V8AGqSVPojyiSAVlLsRDNNVCctirKdvSnjsoDXw0hIrHlK7z3rL-NRvhtllTJ_047vso9Oa3u5p0-BTSjGIImKsp6mU6f2Mv3G6UM1fShFBlMzdVDpWm0fwvSIvBPl4IPnbugmcZWFJiEhuKxOduxn5_fAPKxGbgDPvVVo2ouv_6d0GfHC9GBWplVTTwEsjL3YaZX216Enoy4fOV_oHYC1a50GkZrXvbDD7dtXv_myyGJpbmXwCgjZ0jG1VBarztBrpvP1hjYCls_QMKVtBdLap-HZoZLg-jknFqt3SpIUqdqloOxXZ4VoEIqjqNHoXds_K7mW2Rrs6zkL5OAmnRoGdpaE4-qqs&refId=4WJO5BKSUKQd3grdW5kPcQ%3D%3D&trackingId=iiesqh5b2%2B7lvmVvzUkPGg%3D%3D&trk=flagship3_search_srp_jobs
Dot Net Architect,"Bengaluru, Karnataka, India (On-site)",Photon,https://www.linkedin.com/jobs/view/3719515433/?eBP=CwEAAAGLQswhwteizP7q_PBEGPBzk-jg2e3QVwFzs_CT2B1LiJG3pjxZ8G-zkeW7NrWIArKzBIUrrjtwbOQXIs83S7DSPfB974XxaW006mlNIv9uViBbYRlag0pt8LI7YhR1Zd74ru1qERR-UClb5MrkZk3l81A6GXD1DN5gKdyKytztJMto1U-jV3lBDWua7ACY1OTD0zhNH8ZxdxWmYOq-VH9T860DcJ0-0l3Q6EsKLMVezy-1Nl3qUFLx-_AFSg3B5SzOe26R62TiLNFN_ANEjOW4e_HCK2CRi62b291iNmSfFP4ANisKWBMxHQraOcflS3uMgUVIeFBaMgCakYdKIOffaW6g2laCzj8JX-3_qwZfTBZmZx62465e6kqfD4TLtkHvulfi&refId=4WJO5BKSUKQd3grdW5kPcQ%3D%3D&trackingId=JkfpmAjpeSJLXnzZ5mHbFQ%3D%3D&trk=flagship3_search_srp_jobs
Full Stack .NET Developer,"Bengaluru, Karnataka, India (On-site)",Rockstar Games,https://www.linkedin.com/jobs/view/3296112071/?eBP=CwEAAAGLQswhwmrysxt8puWh9KUz_IkVNr2zxaWkOMAR3lSI33nnQrwZHc1nFmTIFUxZ2TgvO4UimQBN0zbego7Xy63BYBtb08QucORnSbENuk2_omsmLQ7Trk36RRXbtRXTNeSy2nqKl-s78ZsnCY9dsneT2tyZC9chuMaUvTwSofJHDsGHosY2Bz5xmkMR5n7rHW9uYiDn6LF7NXudp6mAoe1yawoMH2fKeD-KS0pGuf1kTUj-SJE5QaY6ie_nlhvOgss4BkYNUZ3obKQB3LVyqF4qrRihpk2eDhV-JJ8k23haR2e2Kslgxbk2fkLv4IWKvKB210W46-JIv9iOPSrW5yLR3pEwp5Xy&refId=4WJO5BKSUKQd3grdW5kPcQ%3D%3D&trackingId=UWlvqxwrwft966%2F23HvQlg%3D%3D&trk=flagship3_search_srp_jobs
Full Stack Developer - .Net,"Mumbai, Maharashtra, India (Hybrid)",Atidan Technologies,https://www.linkedin.com/jobs/view/3727806811/?eBP=CwEAAAGLQswhwmS6pkrBdA3RHnfIdOCj0tQhjc6aEZIIQruFKPJS4WhuExFLWVFv7KvKF7PUolbAjuT4gRTrbh9TYKCxz_BVZIq7PUQxYOpURlrNiyltrGiCB5fEEdVXV0MctrNBM0qkBOZo25T8YNZKWGKmZDp4t0-WW9yfAHEq0svqpS0-xeeQQ7QQdvikNvLne4j1oITEpqS7j5V6AcqJ5XkK3SETyotL1JkYOe6jjsB66KDk1Odnf_NV4_AmSx4f8g6hQRiy8PNCs2ZVT7no1_fm_H-ny4KTHRSJYJzWOVJi7XyUbDZVj7--VFVQT8XMZ3_0Oz5OYsf8wn2hqn6zgA5t0IxZQdAm&refId=4WJO5BKSUKQd3grdW5kPcQ%3D%3D&trackingId=Z%2F73GyUlptKWL6C82tfRDQ%3D%3D&trk=flagship3_search_srp_jobs
.Net Developer,"Hyderabad, Telangana, India (Hybrid)",Fusion Plus Solutions Inc,https://www.linkedin.com/jobs/view/3738176132/?eBP=JOB_SEARCH_ORGANIC&refId=4WJO5BKSUKQd3grdW5kPcQ%3D%3D&trackingId=Lgv1T6%2FAJop2ug8PNnM5eA%3D%3D&trk=flagship3_search_srp_jobs
Dotnet Developer,"Maharashtra, India (Hybrid)",LTIMindtree,https://www.linkedin.com/jobs/view/3725381002/?eBP=CwEAAAGLQswhwkR9LqBi2xo56IUfqNIxur2ciOBuUZCuu5Gi7oz8Zqlf2aVQNTGcJBW1LglCKpJlgBX0aJkc4n-xk8jiO2lVtCkFFf3mc_ZBEHlHeZefZHNi6hkF0cOmEVzhV0Ik_bWGSjyULCZ8Rr9FqtpO5-Mn_2RoSrFyNZkmZW5md4td2dPjlq8na9H0EG6y3ifL9wtajthTYCqYqNADvuoKYalE9G6CqqGTw5S7IDCYVZO8zA2ECPHZbXn69xz_SIGwC4cL7PfCQkJ-chN9tfJtrLzWLtAyh0cVxXH07JEkgG3a4t1inTxeRBnYY6jrhQXUI5sgIwvS9xxtoV5bDEXpAiaiK2ypQwDTYOAUpC9TSlniYwaQS0F6QcpY9oqMhtVoGPL71BU&refId=4WJO5BKSUKQd3grdW5kPcQ%3D%3D&trackingId=TrT58xc3HqEpIcy7%2FNn30g%3D%3D&trk=flagship3_search_srp_jobs
.Net Developer,"Pune, Maharashtra, India (On-site)",Citi,https://www.linkedin.com/jobs/view/3736304072/?eBP=CwEAAAGLQswhw2tuJYwTKDhFFCYGUYNtay0XlvuKGtD4WWDhedsk8pIlLwp2Id7uhWNKiislH2_nyL4nkvlqAPWkV_lOdQ_mrnjIzrTUpnY_0G9I5AW5GDRV2m1f5e_Hh9O2IfiGkClt-wBTLSc1Enm2s8MvM99_kOmrhBOxycoHuhNRPmbiGGXtW2TZqqA7AsfKepTU9LwJCDGpEbKnmZ96q10dvrIWqHfTxW45RbRZqfd4OdjOQLWlxC33gjhligqgBvEZON32UP_EhuDsJqjGhzxj7ofnSF62LYt6EgGeqTUjH1aoDoYSEs509xlIaGCCA1ezO80M6OzW_BJuT1qD_b39KcFS0Csl9li4Td3nSylwnRdTD60-gbK3LuTQP6rMrLDyPQPT&refId=4WJO5BKSUKQd3grdW5kPcQ%3D%3D&trackingId=k8xtuVCbOzgHjp98RM80Jg%3D%3D&trk=flagship3_search_srp_jobs
.Net Developer,"Pune, Maharashtra, India (On-site)",Shavish HR & Digital Marketing Pvt Ltd,https://www.linkedin.com/jobs/view/3736870433/?eBP=CwEAAAGLQswhw2lSiejVyCgixRYWWPrAcW_1SgZRop-ELFPZ0wbHokWZzhB8GtxbgOhU2dtCukS3slm0cTSSBMXqNKf9zP-TS6pZH4hY9D9cdA2EtT8xaeDpb1e06lV7ep-YhCB-9bsm1nUImNRCbhRXDztghxl7ijHdUK5Jj37as4w234rNFLyXSiGxxNq9F_Uyjhu8yeIes3Iw7KOHLK32ByVHHSXv4ae0UWiCX6fPZf8kfWz_WnReoQ5ZD6pLxwV25B_q9h2O2U_br4DREOhN9MG7CvJI1GtPVLWE9q6EsGa0VvmPdHHiuHyH3l3tLt-SZQfy5lf47sNMSVyh4nV9k1WNzJZvOupl&refId=4WJO5BKSUKQd3grdW5kPcQ%3D%3D&trackingId=U1bJo0SPgy9ye60ncFDsdg%3D%3D&trk=flagship3_search_srp_jobs
.NET Fullstack Developer,"Bengaluru, Karnataka, India (Hybrid)",TEKsystems,https://www.linkedin.com/jobs/view/3731055351/?eBP=CwEAAAGLQswhwxy0oGBSdKYO6DyDMvSx-FJEhuAC0iJLaOyaIeGk75obFOhzu35U7VMJ4dP7K-msFaLKCGTPpkWJ308WqqJ2tElueuR0pAJFvsYm3Ocgg_3nMisopMvK3DvwwHCPnWhwke_mkxbo9Tm9MVp3XJt7Tal7dtpP9bZEkIIfd_I4TzgLBi6undho40UQJaKp32OWslb2AsqvdhsQLLZVvH7GOTD8kAW-Jsw4D07qnseFv_FjB4lOYwkGMLIPPMsoVPRXraDli7moPXm1GjtFSi_96FSPtebjBZ58vNHYnu2dDM5bAWsD8j0XjuFUQXf6NdX023uQYWDo3FKk7dnSHznnhs1Q&refId=4WJO5BKSUKQd3grdW5kPcQ%3D%3D&trackingId=bd5hbXtMSCrUWbWQHxXyBg%3D%3D&trk=flagship3_search_srp_jobs
Dotnet Developer,"Mumbai, Maharashtra, India (On-site)",Tekskills Inc.,https://www.linkedin.com/jobs/view/3741058719/?eBP=CwEAAAGLQswhwyKKK2CNRsnbpMtcXqNE50NtjFp7KN5wLaNVYL13r2A26izzM8ojnPMW6y1vP7_Dgr0YAOudzdeJEkoD0QuAdT4F0FzhIiz0KDcXlJVZh9QktUrhC_RA7Y5S4GhujbHSg0VVyhL-B3Nd9zeAx6CqV_7OlM__9LTKP3OBTa3uq8kSZSnLSOEaI7WKoJhl__tOkWShiFUMm4WJGdQYOAUUt8ybhMZCgbtxvht50T_GLv245bnAD56GYwBk3wadyOfJoFv2_8u_5MZ8F41Gik9aTwOuDb6YqMEsCbWD-mHb3t5E1RXTvQrjDnEg-agOIPtOLESvpr2a3PyvrqjeTkGLz247&refId=4WJO5BKSUKQd3grdW5kPcQ%3D%3D&trackingId=54sQXtTi%2BW7%2BJB6zuPTWYg%3D%3D&trk=flagship3_search_srp_jobs
