Job Title,Location,Company,Link
Client Technology - Dotnet Technical Lead,"Mumbai, Maharashtra, India (On-site)",EY,https://www.linkedin.com/jobs/view/3742407036/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=vVM75fgRYldFC5M5kRstwg%3D%3D&trk=flagship3_search_srp_jobs
Client Technology - Dotnet Technical Lead,"Pune, Maharashtra, India (On-site)",EY,https://www.linkedin.com/jobs/view/3742403434/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=7U9r4TTChifH51GuWFhGNg%3D%3D&trk=flagship3_search_srp_jobs
Client Technology - Dotnet Technical Lead,"Kolkata, West Bengal, India (On-site)",EY,https://www.linkedin.com/jobs/view/3742401578/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=wOh2CqPaeC3Cp3GLOSrf1Q%3D%3D&trk=flagship3_search_srp_jobs
Microsoft Architect,"Pune, Maharashtra, India (On-site)",Hexaware Technologies,https://www.linkedin.com/jobs/view/3742195318/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=xXB11hHoOHgWiq22HXWffw%3D%3D&trk=flagship3_search_srp_jobs
Principal Software Engineer,"Pune, Maharashtra, India (Hybrid)",Mastercard,https://www.linkedin.com/jobs/view/3742000640/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=bbaNzGYKGBcNyemPKJ2DDw%3D%3D&trk=flagship3_search_srp_jobs
Application Developer: AWS Cloud FullStack,"Pune, Maharashtra, India (On-site)",IBM,https://www.linkedin.com/jobs/view/3738822788/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=bTRSq8iOtgxpRhORJ2zA%2Bg%3D%3D&trk=flagship3_search_srp_jobs
Application Developer: AWS Cloud FullStack,"Pune, Maharashtra, India (On-site)",IBM,https://www.linkedin.com/jobs/view/3738826272/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=iXV4Ug0GQSHRcGkJmem1Fw%3D%3D&trk=flagship3_search_srp_jobs
Client Technology - Dotnet Technical Lead,"Noida, Uttar Pradesh, India (On-site)",EY,https://www.linkedin.com/jobs/view/3742402515/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=xv0cS18EE8P%2FXgHNkJRziA%3D%3D&trk=flagship3_search_srp_jobs
Software Engineer,"Mumbai, Maharashtra, India (Hybrid)",BNP Paribas,https://www.linkedin.com/jobs/view/3742439619/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=EpNskKajO0Xnp%2B9fuiMFRA%3D%3D&trk=flagship3_search_srp_jobs
Client Technology - Dotnet Technical Lead,"Gurugram, Haryana, India (On-site)",EY,https://www.linkedin.com/jobs/view/3742405078/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=3QleETcP%2BjW%2Fw%2FeuoxbleQ%3D%3D&trk=flagship3_search_srp_jobs
"Lead Software Engineer, Trilogy (Remote) - $100,000/year USD","Mumbai, Maharashtra, India (Remote)",Crossover,https://www.linkedin.com/jobs/view/3741837245/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=TQ7R4%2BhUDYegqWUO%2B3CdBw%3D%3D&trk=flagship3_search_srp_jobs
Application Architect: Mobile,"Mumbai, Maharashtra, India (On-site)",IBM,https://www.linkedin.com/jobs/view/3738828273/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=cwRJ%2FRNypPqyD65bqf5czw%3D%3D&trk=flagship3_search_srp_jobs
Application Architect: Mobile,"Mumbai, Maharashtra, India (On-site)",IBM,https://www.linkedin.com/jobs/view/3738829183/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=4LcxKcHXfcKWjm1ZOI0HyQ%3D%3D&trk=flagship3_search_srp_jobs
Application Architect: Mobile,"Mumbai, Maharashtra, India (On-site)",IBM,https://www.linkedin.com/jobs/view/3738827365/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=NzHVAtCzCKCH3Wq225smgg%3D%3D&trk=flagship3_search_srp_jobs
"Full Stack Developer, Trilogy (Remote) - $100,000/year USD","Mumbai, Maharashtra, India (Remote)",Crossover,https://www.linkedin.com/jobs/view/3741837165/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=h9ufIg0XXGyOswXncp0hKA%3D%3D&trk=flagship3_search_srp_jobs
Engineer,"Pune, Maharashtra, India (On-site)",Deutsche Bank,https://www.linkedin.com/jobs/view/3742775759/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=aAlv6AdZEdYqSsnqvz7Yiw%3D%3D&trk=flagship3_search_srp_jobs
Full Stack Developer,"Mumbai, Maharashtra, India (On-site)",LRN,https://www.linkedin.com/jobs/view/3742437387/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=9QRKrLA1r7T7Lzc%2FJ7hdew%3D%3D&trk=flagship3_search_srp_jobs
Python Full Stack Engineer- AVP,"Pune, Maharashtra, India (On-site)",Deutsche Bank,https://www.linkedin.com/jobs/view/3742439229/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=my%2BYWAVyB7bdmPTyrqbzTQ%3D%3D&trk=flagship3_search_srp_jobs
Python Devloper,"Mumbai, Maharashtra, India (On-site)",ManasIO Inc.,https://www.linkedin.com/jobs/view/3738196421/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=aNRtcPcUsNZnopcluFcXqQ%3D%3D&trk=flagship3_search_srp_jobs
"Lead Software Engineer, Trilogy (Remote) - $100,000/year USD",Mumbai Metropolitan Region (Remote),Crossover,https://www.linkedin.com/jobs/view/3741834461/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=8iPkJ7rIK04pgHZr8gmQfQ%3D%3D&trk=flagship3_search_srp_jobs
Senior Associate/Manager_JAVA Developer_Technology_Mumbai,"Mumbai, Maharashtra, India (On-site)",Morgan Stanley,https://www.linkedin.com/jobs/view/3742068276/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=W5YqRQxO%2F8qbci%2F7Q3eLJg%3D%3D&trk=flagship3_search_srp_jobs
Dot Net Programmer at MUMBAI,"Mumbai, Maharashtra, India (Hybrid)",Channel Marketing,https://www.linkedin.com/jobs/view/3741868781/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=wLmkr6FWkEAJtwcV7ESFjg%3D%3D&trk=flagship3_search_srp_jobs
DevOps Application Developer,"Pune, Maharashtra, India",Accenture in India,https://www.linkedin.com/jobs/view/3742453209/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=fIOuYYqg7I753DYIh8FWyg%3D%3D&trk=flagship3_search_srp_jobs
Client Technology - Dotnet Technical Lead,"Chennai, Tamil Nadu, India (On-site)",EY,https://www.linkedin.com/jobs/view/3742401581/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=Ii0EBgTGXbb8qg1lEC2Sow%3D%3D&trk=flagship3_search_srp_jobs
"Software Engineer - Frontend, Business Process Re-engineering","Hyderabad, Telangana, India",Apple,https://www.linkedin.com/jobs/view/3737414268/?eBP=JOB_SEARCH_ORGANIC&refId=6x%2FXINDgIAFfwnAV7O3aWw%3D%3D&trackingId=VkkfvRwcHWmV%2BbuHMpwbLw%3D%3D&trk=flagship3_search_srp_jobs
Full Stack Developer,"Pune, Maharashtra, India",Michelin,https://www.linkedin.com/jobs/view/3732859226/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=FYgmnK0hLWZ17Bk7wOza2Q%3D%3D&trk=flagship3_search_srp_jobs
Principal Software Engineer,"Pune, Maharashtra, India (Remote)",Veritas Technologies LLC,https://www.linkedin.com/jobs/view/3741962716/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=%2BrZtO0cLgOKuyNJyCOeyug%3D%3D&trk=flagship3_search_srp_jobs
Jr Dotnet Developer- MNC at Mumbai,"Mumbai, Maharashtra, India (Hybrid)",Channel Marketing,https://www.linkedin.com/jobs/view/3741864738/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=jMZ%2FQcZ5%2B%2B4SniI3D9CURA%3D%3D&trk=flagship3_search_srp_jobs
Interesting Job Opportunity: Carbazr - Full Stack Developer - Applications Implementation,"Mumbai, Maharashtra, India (On-site)",Sheerdrive Private Limited,https://www.linkedin.com/jobs/view/3738816855/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=lm9Pcc6lm6KKWyBmpAsHBQ%3D%3D&trk=flagship3_search_srp_jobs
Dot Net Developer at Mumbai,"Mumbai, Maharashtra, India (Hybrid)",Channel Marketing,https://www.linkedin.com/jobs/view/3741866848/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=cinklPgd%2F6v%2B%2FgrIsqJgSA%3D%3D&trk=flagship3_search_srp_jobs
Microservices and Light Weight Architecture Application Developer,"Mumbai, Maharashtra, India (Remote)",Accenture in India,https://www.linkedin.com/jobs/view/3742453144/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=NOt4FF7tUw1N0ZaZv391Zw%3D%3D&trk=flagship3_search_srp_jobs
Client Technology - Dotnet Technical Lead,"Hyderabad, Telangana, India (On-site)",EY,https://www.linkedin.com/jobs/view/3742405079/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=nzssEd4kmA39pRGyG1XQFw%3D%3D&trk=flagship3_search_srp_jobs
Hiring for Software architect - Mumbai,"Mumbai, Maharashtra, India (On-site)",Channel Marketing,https://www.linkedin.com/jobs/view/3741868744/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=gpXCDpvELw0x4lZSOTrKDA%3D%3D&trk=flagship3_search_srp_jobs
Fullstack Lead at Kolkata and Mumbai,"Mumbai, Maharashtra, India (Hybrid)",Channel Marketing,https://www.linkedin.com/jobs/view/3741865796/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=HjSll%2FpOQ2akYzWdGrAA1A%3D%3D&trk=flagship3_search_srp_jobs
"Director, Technology & Data","Mumbai, Maharashtra, India (Hybrid)",CPP Investments | Investissements RPC,https://www.linkedin.com/jobs/view/3741426812/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=P%2Fn6UeDEfiSFE5JVhH6RUA%3D%3D&trk=flagship3_search_srp_jobs
JAVA DEVELOPER(Struts) at Mumbai,"Mumbai, Maharashtra, India (Hybrid)",Channel Marketing,https://www.linkedin.com/jobs/view/3741864847/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=WM4EoG9i4itwCLG69HEKwg%3D%3D&trk=flagship3_search_srp_jobs
Java Fullstack Developer,"Pune, Maharashtra, India (On-site)",Wise Skulls,https://www.linkedin.com/jobs/view/3742046357/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=b6xi1FS4sVt4urBrdPTP%2FA%3D%3D&trk=flagship3_search_srp_jobs
Java backend developer at Vashi,"Navi Mumbai, Maharashtra, India",Channel Marketing,https://www.linkedin.com/jobs/view/3741864766/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=tuUJRH1QNE9xwbYbmIEung%3D%3D&trk=flagship3_search_srp_jobs
Java Backend Developer at Vashi,"Navi Mumbai, Maharashtra, India",Channel Marketing,https://www.linkedin.com/jobs/view/3741863839/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=5AyfhKWK12qrJI5AVLL42w%3D%3D&trk=flagship3_search_srp_jobs
Technical Manager - Java/j2ee Technologies,"Bangalore Urban, Karnataka, India (On-site)","Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",https://www.linkedin.com/jobs/view/3735092634/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=t4%2Bxrzp7adlt3CARCUuKMA%3D%3D&trk=flagship3_search_srp_jobs
Engineer II,"Gurgaon, Haryana, India (Hybrid)",American Express,https://www.linkedin.com/jobs/view/3738166087/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=dK4BEqj%2Flafyncc8ZmchlQ%3D%3D&trk=flagship3_search_srp_jobs
Asp.net Developer at Mumbai,"Mumbai, Maharashtra, India (Hybrid)",Channel Marketing,https://www.linkedin.com/jobs/view/3741865791/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=dhId0s1JrGIPTyPROVO9Qg%3D%3D&trk=flagship3_search_srp_jobs
Client Technology - Dotnet Technical Lead,"Kanayannur, Kerala, India (On-site)",EY,https://www.linkedin.com/jobs/view/3742403433/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=2OfZLa6rdXBfxoB0l1pTcg%3D%3D&trk=flagship3_search_srp_jobs
"Lead Software Engineer, Trilogy (Remote) - $100,000/year USD","New Delhi, Delhi, India (Remote)",Crossover,https://www.linkedin.com/jobs/view/3741833790/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=fh2yaMrJ3ExRVz1TUe8rrw%3D%3D&trk=flagship3_search_srp_jobs
Client Technology - Dotnet Technical Lead,"Trivandrum, Kerala, India (On-site)",EY,https://www.linkedin.com/jobs/view/3742405083/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=7wiOy6p7rvlWhPEHTAopsg%3D%3D&trk=flagship3_search_srp_jobs
Jr Dotnet Developer- MNC at Mumbai,"Mumbai, Maharashtra, India (Hybrid)",Channel Marketing,https://www.linkedin.com/jobs/view/3741867661/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=YOZNXR72tiw%2Fp9SsD96BBw%3D%3D&trk=flagship3_search_srp_jobs
"Full Stack Developer, Trilogy (Remote) - $100,000/year USD","Pune, Maharashtra, India (Remote)",Crossover,https://www.linkedin.com/jobs/view/3741831739/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=FNtsmb22xI5nxFLoOTFPgQ%3D%3D&trk=flagship3_search_srp_jobs
Software Support Engineer,"Pune, Maharashtra, India (Remote)",Zinnia,https://www.linkedin.com/jobs/view/3742010251/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=D%2FnJeabGgCVpPXrefNPeWQ%3D%3D&trk=flagship3_search_srp_jobs
Client Technology - Dotnet Technical Lead,"Bengaluru, Karnataka, India (On-site)",EY,https://www.linkedin.com/jobs/view/3742407037/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=FtWWpDxOGIPHvLys%2BUw48g%3D%3D&trk=flagship3_search_srp_jobs
Microsoft Azure IaaS Technology Platform Engineer,"Pune, Maharashtra, India (Remote)",Accenture in India,https://www.linkedin.com/jobs/view/3742444901/?eBP=JOB_SEARCH_ORGANIC&refId=HAo5nKdtTBnKj8nsa55muw%3D%3D&trackingId=pUkyJBH3KG5VHA3cinwBoA%3D%3D&trk=flagship3_search_srp_jobs
Angular Developer at Kolkata,"Mumbai, Maharashtra, India (On-site)",Channel Marketing,https://www.linkedin.com/jobs/view/3741867648/?eBP=JOB_SEARCH_ORGANIC&refId=df2sJRT%2BXdo91jV%2FHgiFaw%3D%3D&trackingId=TDU4fpqRTNLDsjJlpiC9pQ%3D%3D&trk=flagship3_search_srp_jobs
Dot Net Developer at Mumbai,"Navi Mumbai, Maharashtra, India (Hybrid)",Channel Marketing,https://www.linkedin.com/jobs/view/3741864960/?eBP=JOB_SEARCH_ORGANIC&refId=df2sJRT%2BXdo91jV%2FHgiFaw%3D%3D&trackingId=cZvfAbzdYK6ME2iEVT2oYg%3D%3D&trk=flagship3_search_srp_jobs
SR. FULL-STACK DEVELOPER,"Mumbai, Maharashtra, India (On-site)",ACURA SOLUTIONS LTD,https://www.linkedin.com/jobs/view/3741869462/?eBP=JOB_SEARCH_ORGANIC&refId=df2sJRT%2BXdo91jV%2FHgiFaw%3D%3D&trackingId=at%2BsC5uMWTfsTcXVn9WOVg%3D%3D&trk=flagship3_search_srp_jobs
