Job Title,Location,Company,Link
Lead Software Engineer,"Mumbai, Maharashtra, India (On-site)",HERE Technologies,https://www.linkedin.com/jobs/view/3684691840/?eBP=CwEAAAGLQvGNfLOYOb6Ahdgofc0TJIsRh-Zln27qeQpdfh_ufyQtSEnz_hDDqEdmljpCZ9u8kqkRN6lRp1WZrTy8d4ppQJexFioOFJztwZNgsDtWhOIn7FaWFh5Sz0jmu5fU2BvWmfQBnqPhbe37JD1SbE5XCjuN4OYEDQ5DVa8B8EJcMXDfZ6KcUrkkCgInIy3SJNm-4rueN3it_19lhrWEUMmWCohZ2U9mVuFhO9wGnBzuf5GQPATsiwnHXjxmSGLoxAKMGp3U1pErOBRjnUBPiQ1g84GHScuP5visX9wCIOiW23RqTtSTHfogoP7Jr9euWFCB-5qoJClYPUWx432yHRaOxweOhdCdnd5W-P73jBUe7YEsZkUtNn4i59-hAaMCzm5hd1DD&refId=szdWsux7RA5uddtENeIYnw%3D%3D&trackingId=2GfwzZtKbACwQ4veTpHpLw%3D%3D&trk=flagship3_search_srp_jobs
Cloud - Senior Software Engineer - (Enterprise Software Development / API Design ),"Navi Mumbai, Maharashtra, India (Hybrid)",SS&C Technologies,https://www.linkedin.com/jobs/view/3625496260/?eBP=CwEAAAGLQvGNfLc-1m5zItzIHaHSBb8b-ZsEhUUTsBNPv3fxO4pimGE65kUj5RnWsw2-p-SN7lln6DKElrr0rATcpAf552Q2NxPo-G5liXMLXmynowHycwbCqabbAnqxfZzptGaAypxT_myFHtgVGeYZi56pKdlh5FT-JLkG93YUhJVjjeQDWUcxmFx71hRB6loOW6W6k-TQMm0U_iL54_Ys7Mcq52D-b9USyvdBlRlZnHoF69T-XhPYkGfBymOV2ngdWkydTFdxQnBkq5bVydBWxSUwPsEOEQ2zqXFFwt1ZnZ-xRD5BMbpj_uMOZmOCK4TrcFs0deWHdtfScOPrZUl4gGQVELYcoObJL13ihO3tUb3LiaezZdsF8pF3BoRLi67_zJLiilck6_4&refId=szdWsux7RA5uddtENeIYnw%3D%3D&trackingId=OBXB4i1feqZu1Iu%2BmLIKGg%3D%3D&trk=flagship3_search_srp_jobs
"Looking for Senior and Lead Backend developer (C#, Typescript, Azure, Kubernetes)- with a Sweden based product company- Pune !!!","Pune, Maharashtra, India (On-site)",Seventh Contact Hiring Solutions,https://www.linkedin.com/jobs/view/3741795341/?eBP=CwEAAAGLQvGNfQWceZhtu19qKrQ6Q9lBUyGjjsMrlV9DXf6pGcnUXfPkbmTlvZTJy6P8V4bw7Jv0djfIxpjYubIQtZapbQ6JtyY-xY8Lf6ILzrbb1yYIg0chYEfJteoERXZ8_emOFckdpRY6PVVdW6NfdeaYf7ceNAngxhwOVBQcLlc_Yqn82t6Ltct1sS1rpVGKsc-B5qPzWJr_Op3hlQO8TzrT4vPhqKU1saVE-j3O2q3PiVy95lcnWbGssIEW5uYFBVuwgBg_ydsb4OJnxP9fIPOP_Wcm8nKLtjesZaKUAHtS-iv760iGSpeBo5R1MjtBwWIzPe1ozkbSgueRXNDtQ-0-XAmjPLmUMbnNXmwtMMjjyG6EIEWavMK6gm9h3TOAJcQlOAZRIOU&refId=szdWsux7RA5uddtENeIYnw%3D%3D&trackingId=%2Fq5P6XQbU24gf19bTLZ1ug%3D%3D&trk=flagship3_search_srp_jobs
Senior Software Developer TCM,"Mumbai, Maharashtra, India (Hybrid)",Marsh McLennan,https://www.linkedin.com/jobs/view/3717093183/?eBP=CwEAAAGLQvGNfTZaDXmyJyitbsoyPltwOCAK3AXCJvG9a0QkYbX7p0sn3ng-DdlwluMDH3k0NjwIDbkhE8yPXjysL9e3gcqSO9pNEZHcJl58GXxgxqInKNJaCuN7IIPR1x4yVfqOnYmOoOU8WNpT_GfE9VTmycZboMgYBC5YiaILAJ0TBy7v1EYI9HRC3SweyuwCgB8HVXtHHIUL_r5C7QVAQJE-WbRisw-dRN4KzwDVtwd9DsHiNZ2th5HIYZPnKMar74uuo2n7aRLJeS78Ex2ob7Lis4Kh9ukcYR_L9THwND_EKdQED_RNxHTH9wigU-kkAboYs2-C3P-RfKuLJIDrrTXnDk9kEAkpBZ0L9_6e9a1X0yxS9h4zSa9H1bheePdTE174kXBO&refId=szdWsux7RA5uddtENeIYnw%3D%3D&trackingId=lzUOQaDxyUjtfDGaxfHbnA%3D%3D&trk=flagship3_search_srp_jobs
Interesting Job Opportunity: Mobiloitte - Blockchain Developer - Ethereum/Solidity/Hyperledger,"Pune, Maharashtra, India",Mobiloitte,https://www.linkedin.com/jobs/view/3735511009/?eBP=JOB_SEARCH_ORGANIC&refId=szdWsux7RA5uddtENeIYnw%3D%3D&trackingId=QVDyQT6xG2L45jwTc%2FPRhA%3D%3D&trk=flagship3_search_srp_jobs
Blockchain Developer – Hyperledger Fabric,"Hyderabad, Telangana, India (On-site)",Vivenns,https://www.linkedin.com/jobs/view/3729071299/?eBP=CwEAAAGLQvGNfe5WgmsR-5P0TWN5wBec6TIxsjgzENNSQK5izaHwRDDZEzsL9AY9cLrvJapqMQzmyq-EFAbtvDWzwMDcbvKt8KmMLe0a3w1IjElQjLc1_6PbICxu0U0mUDDVJvREKSddIMDjg9Z1uejKJtAZoHz-Z8qMe1YdHAaDuyQNISRynV2BC6HFU4qBBC28B4RbiQC-tjh63AQpu0xH_guDE14wrMCTziiU58_uXdaIJAZ5i3raYe8QTd2hx7HSnwsEGu7HtciAecixm4eb0MOk0QsvdSZC-amo1eB8EKTbv9Cpuv6ZcxmAYnHt9IXAH3iGLSc0hw63YH2i61vdUwRGCYBXTDvBMYmrrZJ-nTK9DnbwPScaAfiKB3b_qQXIBDAUNQaUakw&refId=szdWsux7RA5uddtENeIYnw%3D%3D&trackingId=fXKRGoqBsjX4nCz3ue6Iog%3D%3D&trk=flagship3_search_srp_jobs
Blockchain Developer,"Bengaluru, Karnataka, India (On-site)",NetObjex,https://www.linkedin.com/jobs/view/3735598590/?eBP=CwEAAAGLQvGNfU-x9QbY3pwZ_S1dNjVYY0jB9EYGfspRko0nlVY75-hwea42D-zZjOyj9NHWr6DedzSyfkm6xjX619xeOlYtnqY21R2lDjSDN-DxT2kDJHIJksXPDpx-bsGEACd-nt8h9pJO475MeDUuhrAAikhPBo8y1tHr2CmpAUYxnOGqcaHeei6uI8WJablFb6yuTvYJB7hf02jZnGLBF71CM-AMY7zW1zjS820hhQOwkSnf0QDyqwZQXUEDrE-hyw8OMJsMwAFl_yCd6UZqSihHdNTdA9M0K6kUOC9efXnvi5zHkcoTdoiR033HfzYg8PoQ44xCet3v-ZwxQmUN8Ss3gkcwvWIR&refId=szdWsux7RA5uddtENeIYnw%3D%3D&trackingId=aNlFJwF00yEMMYG2GgVWUg%3D%3D&trk=flagship3_search_srp_jobs
Elastic Search Developer,"Pune, Maharashtra, India (Hybrid)",LTIMindtree,https://www.linkedin.com/jobs/view/3736861240/?eBP=CwEAAAGLQvGNffO9Sv_fjajOgIu0x6AxjrE6831sdjqcRwWxpo0LfgQ1KiTMl7cnuuYC8iC-_d75AZnEXLkWl2-_ZUyMybUUqLEwNiuyxy0I1y6EtyMkKvcC7E07e9x7_X8QRoE9-0GnfEdh_kpv-icjccI5DtgbSzeaDsU33PQwYv79krNaLAJXGQIbiUbU024J8LfWjITXatHYhv70w-_n4x3XfMAl8C1iN5C_pqHAOWruXMR48ktBUJhOnfABQj7wpU99RCLgqQ7Sr-QAD-oEyijef_zEeeVTzV-lFW3xLUKr2KIu6q-uV3SaRSKVZKuVyNvkG-tQOjXnymm50WXz410wCrQ40iOUFatr9CbGGuwLOVnaDSGsXAf2KLYcLXTe67W0w6IS2Dw&refId=szdWsux7RA5uddtENeIYnw%3D%3D&trackingId=37loDl%2FDi0bfLsR74O%2Bz%2Fg%3D%3D&trk=flagship3_search_srp_jobs
Technical Lead Developer - Full Stack,"Mumbai, Maharashtra, India (On-site)",SitusAMC,https://www.linkedin.com/jobs/view/3662368728/?eBP=CwEAAAGLQvGNfR2wtQtOWwP_316jzDtugeNNHVSYMpxJ-dPVDq6RIjM2YmBm91DRWd65GkurStHmZ33k9u36Clrjl-OwiExMgO6KHuQKpw3S9At4bWmH4vwIg2yA8mE7Y3ja8HgKS1tjGGFTkaN5Nj-1t12EHiqN2kPyaylcU11JD_lFf4DcZsee3uwErvHePDwGktss7CMUa3G-ltysgNJ3Cm3SF-dLssNA5hXOtnOl9PPDmzcB5BO0waxYOoEYrfaAiq6MOMU7a9HWLeqZK-VLkN9EuNlFdJ5pNgzw-sKD7OrMXVOzNgClQfrUhQxdhD7_ZyK1P6BMls4U7B-mpjHMU7XgS3vw_SAiuEWdanm2ha9UGQ8oDQbERppn7rRi2c2ZzYZvdWpPPlk&refId=szdWsux7RA5uddtENeIYnw%3D%3D&trackingId=53QAPC9kNwjCQVP%2Br9nRxA%3D%3D&trk=flagship3_search_srp_jobs
Golang Developer - Software Engineer III,"Mumbai, Maharashtra, India",Forcepoint,https://www.linkedin.com/jobs/view/3712319314/?eBP=CwEAAAGLQvGNfT5gEvCLBp79FmpdAQvDq0Y5tUo5jgfcmeAtqMZmU45Pino-J3Xi-F4qouNQ5IpzFhQCr95ISKEtNfY2YFs9C0rrr1tQ4mSQ43kapKBkkKq8DvW0tZwSBGKGO0_jTjw0SQziiLRCvuqfhEQjyk9H5RG0t2KgG4STajQw4fO9WuMlWychdPN3ANXD4aErSpTKOZWfkHDUsx_fyA9t6eYBdR37Ee98SwSEoHlNbjLawNdhZVEw4SNujYmkFJWYeBFfVTB-8sbEJHRaffFkwY_QRPGci2tNp9eX6lnY3XMVeW8pMIkqLGY62eShBElSzGH4n4mOUL7-vyAsUXU-bQqFLK9iHepVXwUpd1F6pdcdOjnPbZ9X770nkGWwUb00Kg7q&refId=szdWsux7RA5uddtENeIYnw%3D%3D&trackingId=uK6a7mDefG1E%2B%2Fkn0RGzUA%3D%3D&trk=flagship3_search_srp_jobs
