Job Title,Location,Company,Link
"NLTK, CORENLP",Pune/Pimpri-Chinchwad Area,Zensar Technologies,https://www.linkedin.com/jobs/view/3689924894/?eBP=JOB_SEARCH_ORGANIC&refId=p3PIK0NakctdtQ8OyHKyXQ%3D%3D&trackingId=uI7%2F1IfSl7nfWAUdZvgS1A%3D%3D&trk=flagship3_search_srp_jobs
"SDE II - Machine Learning, JioCinema","Mumbai, Maharashtra, India (On-site)",Viacom18 Media Private Limited,https://www.linkedin.com/jobs/view/3715834136/?eBP=JOB_SEARCH_ORGANIC&refId=p3PIK0NakctdtQ8OyHKyXQ%3D%3D&trackingId=YRinzN%2FrB6OZe3NiWuv4Rw%3D%3D&trk=flagship3_search_srp_jobs
Computer Vision AI Platform Engineer,"Mumbai, Maharashtra, India",Accenture in India,https://www.linkedin.com/jobs/view/3742447730/?eBP=JOB_SEARCH_ORGANIC&refId=p3PIK0NakctdtQ8OyHKyXQ%3D%3D&trackingId=BsgVOHY64BGdwV4WFc9xyQ%3D%3D&trk=flagship3_search_srp_jobs
Data Scientist - Computer Vision (PhD only) - Pune,"Pune, Maharashtra, India (On-site)",Michael Page,https://www.linkedin.com/jobs/view/3708996694/?eBP=JOB_SEARCH_ORGANIC&refId=p3PIK0NakctdtQ8OyHKyXQ%3D%3D&trackingId=EQPRVTRHRm51KCuIrSz%2Fgw%3D%3D&trk=flagship3_search_srp_jobs
Digital Transformation AI ML Computer Vision,"Gurgaon, Haryana, India (On-site)",Maruti Suzuki India Limited,https://www.linkedin.com/jobs/view/3730584327/?eBP=JOB_SEARCH_ORGANIC&refId=p3PIK0NakctdtQ8OyHKyXQ%3D%3D&trackingId=4mfBIVRByoZi4zeGXh4h%2BQ%3D%3D&trk=flagship3_search_srp_jobs
Machine Learning Application Developer,"Mumbai, Maharashtra, India (Hybrid)",G-Jobs,https://www.linkedin.com/jobs/view/3749857767/?eBP=JOB_SEARCH_ORGANIC&refId=p3PIK0NakctdtQ8OyHKyXQ%3D%3D&trackingId=97eBjmiVthp%2BlGbO6VSTNw%3D%3D&trk=flagship3_search_srp_jobs
Hire job for __Computer Vision Engineer,"Mumbai, Maharashtra, India (On-site)",GFL Recruitment Private Limited,https://www.linkedin.com/jobs/view/3738771077/?eBP=JOB_SEARCH_ORGANIC&refId=p3PIK0NakctdtQ8OyHKyXQ%3D%3D&trackingId=3ZbTPBG67gRToSsQ0QONeA%3D%3D&trk=flagship3_search_srp_jobs
Assurance Digital_Data Science,"Noida, Uttar Pradesh, India (On-site)",EY,https://www.linkedin.com/jobs/view/3639815654/?eBP=JOB_SEARCH_ORGANIC&refId=p3PIK0NakctdtQ8OyHKyXQ%3D%3D&trackingId=iK2Ush%2BLbTzt%2ForSUScAcQ%3D%3D&trk=flagship3_search_srp_jobs
Computer Vision Engineer,"Mumbai, Maharashtra, India (On-site)",Quidich Innovation Labs,https://www.linkedin.com/jobs/view/3747419736/?eBP=JOB_SEARCH_ORGANIC&refId=p3PIK0NakctdtQ8OyHKyXQ%3D%3D&trackingId=w%2BQyu%2F9AQI%2FGyFOsqxEaDg%3D%3D&trk=flagship3_search_srp_jobs
Data Annotation work from home job/internship at KoiReader Technologies,India (Remote),KoiReader Technologies,https://www.linkedin.com/jobs/view/3742996290/?eBP=JOB_SEARCH_ORGANIC&refId=p3PIK0NakctdtQ8OyHKyXQ%3D%3D&trackingId=U7%2FzBjPPHiWQpHssK67%2BZw%3D%3D&trk=flagship3_search_srp_jobs
