Job Title,Location,Company,Link
Cloud Engineer,"Chennai, Tamil Nadu, India (Hybrid)",Virtusa,https://www.linkedin.com/jobs/view/3754607175/?eBP=CwEAAAGLgk3HIWGscSXADrymfc6wJVcAsRnQ2WyTpozlNVuqytGxvHLY28cB7FsUWtS0FgYoi61umbFh94SGegFxugkGTTVvWo1qYMscf_qEDOMVJDroUB9kaz4ZJdsdjb_p9Vu-hviZOa1OMVGI8uRf0tgSrtttn60htJZEVLz7B3TdsKlKCdpcpxTusnX9DTQ1PTsYcIrniZC6pBC-4YDNlmMJ8bNW14y8LtLx-mRp3QuxaXZgS0E705iCF8MiZaSkxiN58rArYzVh8jqQXBw1DwNFAhZqBQd6OEZy_1ziMLlb7KsYws3EFVdoE8HsrfSW7L1lLsXBxJNgKuW-4F703oeEHmzBrV_8z-HeS5lXPq97zPt3kqdTy7uUtBteQk1ISI-HTB-siYMo6A&refId=bn1j1EDECD%2F%2B56CPANjT6A%3D%3D&trackingId=v9qCU9%2F6xwZkFNxQmrInuA%3D%3D&trk=flagship3_search_srp_jobs
Postgresql DBA,"Bengaluru, Karnataka, India (Hybrid)",Alchemy Techsol,https://www.linkedin.com/jobs/view/3744557583/?eBP=CwEAAAGLgk3HIWf3T-HYXbQJKkXfH_S8GFQDZpx2DNQq1BjL-_HyZcYNFuS8vA3J-nnssKsfnJmAN8osa0KCG_To7DOZs5faQ-sFz1_8VAZUv0gWVi6ogTpBZS0obgEdIYyT_kWfp7vN4FWhiNHVrBU3s0AGjpqjh9ymrDLLOAXJ4C3c22cWn0gQcKGxkf35o4iJm90SAcb7n3IPXsMYc03thnk6k5Xl1zayfTyOM_0h9U_5xyW9VD7om9qE-2BvtRmRb0EWusINEUF06wKCBU8yeFtzA1JEutpySPNYLcJa77R1bWXLEzAQzPAYGuBGr04ZKUQH8aykwIJHTt15hb0q6cs8i5JXCLPg2-KhmCrca2yAV-q5IZlh509igcvPR3QFV00op3nnPHgHa18k&refId=bn1j1EDECD%2F%2B56CPANjT6A%3D%3D&trackingId=QRA84CdWZL1gQPIqy95oCQ%3D%3D&trk=flagship3_search_srp_jobs
MLOps,"Bengaluru, Karnataka, India (On-site)",Aidetic,https://www.linkedin.com/jobs/view/3736884006/?eBP=CwEAAAGLgk3HIR0NSHRUCMpw7Oy24cIzy9uBoHXk_D6JZEnZEOxWTAqG0GFRoxnQoqqRmQHsLGATQ-g5TVO-vi8EEAsyd7a3-tmn0zeQOd1LKOzfcaaU1Df08s4VcM2H1mTzfrODxvUFnKRGxoIvgsVJQfH880mol7Wl8kEUs4NQFjzH8YfhN6-bl-xU9io0EHGL4DKUYMxMC_vgvlcSwafE1qwhlCUqzx0dE1B60hOMhJcN4cvqbKjgQTygVJ23f7wTdzJY3kB4F6eYkrIYGbZnpMT1n4jihbARM1x9lxDvTHuz27ZQiiZj4GoNa8Jti2MZnFCaewDDEmD3vxWeJTkT8rT5rXMjM5JurEcJbm9QAF_m-kqj0nBvfCI05kq7Dc3o5JWyWUiBfQeEM4RO&refId=bn1j1EDECD%2F%2B56CPANjT6A%3D%3D&trackingId=pUfOssUNUaYSwcmAXQnJlw%3D%3D&trk=flagship3_search_srp_jobs
Database SQL expert with cloud DB knowledge,"Chennai, Tamil Nadu, India (On-site)",Ingram Micro,https://www.linkedin.com/jobs/view/3736917676/?eBP=CwEAAAGLgk3HITVpXd-dUpiZbWjyPtHrm-5TDEctml8-bPdQ9tETHe--mwzrIdJEcIpnyRRB3E7BKxVtMEvOUfFgRlvZj2L8KfgjT5Jcc09V8CmdFOh_mjh2arlKJLJXkzm3R-hTvZN6rkIbTUgnBp-EAHeHQPxr9YF8drVfhPy8J6m9vMK18Lv5qAJ6-HhrXWHAEGkFczSfSHB3TyBQx7a68I-izUYa_rsSlC3q63u4AhpeNvDwoBaIIKAvtis6EWsR4TEIdclF9s930nkfJPZxq2vuiaX_QlvdWTjohq3qGcW-KSr0127GQc3hVSXMApQ5kE2DM7mLniT0pgzYHp_jfQDPdBpbgAjKAOHoF0Kyg9htlqzFxNNymP-_IO7lPI5V_lCbilOf9KXAcO2D&refId=bn1j1EDECD%2F%2B56CPANjT6A%3D%3D&trackingId=9y1UV0A1C%2BtmqAugXsQocw%3D%3D&trk=flagship3_search_srp_jobs
Data Science Analyst - SQL/Python,"Mumbai, Maharashtra, India (Hybrid)",G-Jobs,https://www.linkedin.com/jobs/view/3749856674/?eBP=JOB_SEARCH_ORGANIC&refId=bn1j1EDECD%2F%2B56CPANjT6A%3D%3D&trackingId=CxWP8dotwULNvh3szElOHw%3D%3D&trk=flagship3_search_srp_jobs
Postgresql DBA,"Bengaluru, Karnataka, India (Hybrid)",LTIMindtree,https://www.linkedin.com/jobs/view/3731996200/?eBP=CwEAAAGLgk3HIcyfn70SVYtFre981zxMiaNArsUQHVay2n4dOybd8IgdBZrO-bWVwh7hjOOPSXtQZVHvCmqxeZRErhR2Q0nlNTv0MPmYg3FPzdJSzo9hd51Ep_uu24lgDA483wYApQQvM1GQ7MngErcNiXz7NzehtaU8MJJmGtos_evkikd33H2bOoVI5dA8exT77KxKg_N1uaXBX2ZI1Q5aVUHVmKUmwes4R97iaYfmycsxI6SbKG7SOJ62T7cj8vReGZASMgq8n8rjPlGMg-ToriI-OVGLI7npF6OPdFDsaIL8U_HhYvPJIoD25UBJ1CStiH-xiTWVQs3MOTWUy1BvJhTyGUIQlSUGnarMgOVWAiukZs0r3t47cVoD06m8CLgEUCn9nUeWFO6bjdAF&refId=bn1j1EDECD%2F%2B56CPANjT6A%3D%3D&trackingId=jbyvajCxOoSaA3fXJXy74g%3D%3D&trk=flagship3_search_srp_jobs
Postgres DBA,"Thiruvananthapuram, Kerala, India (Hybrid)",IBS Software,https://www.linkedin.com/jobs/view/3728458279/?eBP=CwEAAAGLgk3HIRwX9gDCFyr_6FSvTVPeUE4BRdb1y2a4lFLwYDeMOz1k6dUCKODpwfUfZaElkhR6D4BoOuLYFtHQWcw7vLx54oTlnevKB2vT4oD0tOvzdOQtuB_gAFebkwD2uUtp68XZfR371m2Lc8n6Kkc2spj_M2mPtr2HvrlBPy_99nh3YQhOqK4E02MCuW3GX7nOFzJWriapjcMzwisYv7DhGtC0b1K912UvxztOZ1bNI9VGWiJdyygiVmKd9q5ud-3kDf7l_IkBeZPZRgvu3xQOLJQfJHwLN5wQfXclDkynnECkxkvxAZk-r4m4Cjfi-uaG8BXYqhzw9IOyRiVOkjmHjYYUQB_ecZ4Rzm5fFN1mY01ZUAJGw-G_nj4fKPdoa0rL2QnSYdKNV-7G&refId=bn1j1EDECD%2F%2B56CPANjT6A%3D%3D&trackingId=qnxt%2BIxLaDg3Uqdf5elzSw%3D%3D&trk=flagship3_search_srp_jobs
ADF Developer,"Bengaluru, Karnataka, India (Hybrid)",HTC Global Services,https://www.linkedin.com/jobs/view/3731050624/?eBP=CwEAAAGLgk3HITw_dpamn740QFv3dp64MVD-lJjTLzvFPRXcbxQJME3xjSKc0YfnFloSMmZFAHqzmwtQIwOuKuWVKNinUMsfcaZFQrE6i_AcUh4oH9JoQOZbGWQRhGaxc75lj5pDA3po_7G58kXiOvHNJDx5jovy9SPbNpuqprYS6AB0qlSkJriWpVbDkQGn5tCEsoc4pVLrnQfzr45d5nFYzzyFU0Z3_KH3sbczjoqEQChVYvYEp1O8-BiHslej2do9uoyswMcz2dJwyoSXjYg5pAO-BCQill1eWO0YRjkKWadULEC6x8P1CqwnCMkYjsNyZCRU7-xYB3vRU85mIDBx1SAPNtOwY0hjCqSgOsAyZLEeTZaZy0Qo1SWw2MeqDN2-_rp4stFYRJ6SUpGV&refId=bn1j1EDECD%2F%2B56CPANjT6A%3D%3D&trackingId=9rHQ6F%2Fu3OZ%2F2NxQbxu74Q%3D%3D&trk=flagship3_search_srp_jobs
Cloud Data Lead,"Bengaluru, Karnataka, India (Hybrid)",ThoughtFocus,https://www.linkedin.com/jobs/view/3731582881/?eBP=CwEAAAGLgk3HITRt9DwX5HoyDc6nJpzhCh47D92m3J32osV0tIfsmyvJRk6udhn7rOXP3F2w7FGJ4H2shfe3bHOO9_uGVnLm9coLaNZfdnpT3Df8t_SGyXFSfEMsNffWXRFuxpQ0KCJqV3SM0ublQQfClZiMN2dKT3EKZgAr_yhhUIOxNTpJMX476GEyV2J6bNHqeY9HOqgIgQK1kUkv1l86BLIv6Rz95b2ulLOxDTFOPDvHs2yslvD8RsdzSt7mCeRPGnjJ8L0BC8AGv9UUzFz6GUCtjT0bxjlJVXKC0Samff2IEykenxyFBl05HDBGsIqrTA-QqUSN6ZjZZOBOtVvnHNGEtJhxNNjl4DAX_6lr53AJHacfsa8w9ox5jZSNAhdAQw-G0KdD7RIfKnQA&refId=bn1j1EDECD%2F%2B56CPANjT6A%3D%3D&trackingId=crO4B2i0Jd%2BxxKT%2FGiPmWg%3D%3D&trk=flagship3_search_srp_jobs
Senior Data Engineer,"Hyderabad, Telangana, India (On-site)",Saras Analytics,https://www.linkedin.com/jobs/view/3747326541/?eBP=CwEAAAGLgk3HIUSB2DZOiDiQAr8I9vZTaZh9ebR2LTtf6wInBFUNQpEY6FDH8mhlUOI_Wx3THUPi_Xtg-iOOAGdz0rF_Vl5v_pme29h_c4iOR3hyRW55RlfhXHtEbJ98HtsAUU39tokLOomN5juvI1kruXEBCuc7EYoCll9ASssVLMc1-LSo3TIgBiC9aMK7HRpctdrvhHUWlm193M5MEUvp7BzZiMeuMvMBOEbatjoSA7bu-LMg6wYWjU6Arq2hn_E7m2WH9NgjZ_Y2CUSvQKalHR6P5-3Fqh2Utrjar38BVGADq8XM4YQ4HomqTEHwPAZIrztlggyE8yy7P9FNiEtBYejNR5_tha8lXKrqq1pq03mVG3fUSJs6vwHibp9RbTJHtmaB7g0If-4LfUe7&refId=bn1j1EDECD%2F%2B56CPANjT6A%3D%3D&trackingId=ppxmE9AbshXoEYOaTw9J9Q%3D%3D&trk=flagship3_search_srp_jobs
