Job Title,Location,Company,Link
EY - GDS Consulting - D&A - Data Scientist - Senior,"Trivandrum, Kerala, India (On-site)",EY,https://www.linkedin.com/jobs/view/3772560332/?eBP=CwEAAAGMFp-QvMkhxHDf9B4yuuwkWOUU5S8rZIug885T7xuRcd9CfXcwRzq_bPwjtnuCMfIJ6siXtpFhmUEfpID8ekHwRYUhzRx_ihtkJNMj1x2dwUA1djegxN1jCdGsey1sPX3Z4n0K-M1JKvDM0JjMeEQGRln6ly4_Pq3um00dZVCuE2GjArxr_BvNO3rXnVZIsYNvZSu6NjunK02FH7c4Y4CyH9WyTJ9ulzX1Ixf8U_WdoN3gDXUtovk0zbhNMpJBVBNt0mY5HXta_6IisQDrebee_xHNsgx-GWl-40PO1505nomZBJiY2QZ0l0BThp0UgeOzNfoMPLmblUWHsR46maQxWGu5Y87HnMUYCeQdbLNwTGrtwSs8hWFYLssu4lFxFCxNScQLoco&refId=DsMizwJrVkenfhn%2BjAjQ4Q%3D%3D&trackingId=snig8yF4F%2BxwcnV%2B%2FEjdhQ%3D%3D&trk=flagship3_search_srp_jobs
Sr. Data Scientist,"Mumbai, Maharashtra, India",General Mills India,https://www.linkedin.com/jobs/view/3685733428/?eBP=CwEAAAGMFp-QvMhpaVnTVNeNCeULtePy_us0FIzJUHvaKfSOTyXalgtaYd48d2a4zdmnoaeel1OE2KpCSHoTb4yAXyBuqWoM9Et7GdBI5ECYIP64BRpUD_dh-IlCFBHzXq9R89rLRONfxp6CPEh9DJLDyB5X6Mo_RKIkUCJrbH2J9Bumr6O4vEwkvd0k5DSEpYS8MTEPYfFy3u6BDdmdkbY67Kb7eKju66NHP2s-fWEhjbVyv7c3hD-UI-yqJP8E43YbUBq4GF3ENUjlGAU4F1VjbtgnZsnUJwIbg_eX4cB3YiCQf8XYv-gLWxcReMCk62tNubICo6O2MrzUukO7wo2_oOrVofzKCnOia0g3NPOSdCw-vBe-WNUfOdd5T8yi3yynkIvkFpS_q0s&refId=DsMizwJrVkenfhn%2BjAjQ4Q%3D%3D&trackingId=X%2FggtGLXitaW6vqcKkgtMA%3D%3D&trk=flagship3_search_srp_jobs
Sr. Data Scientist,"Mumbai, Maharashtra, India (On-site)",Spiceworks,https://www.linkedin.com/jobs/view/3768449767/?eBP=CwEAAAGMFp-QvBESiSeewegad5NckVW5ugc444JlnRuHvRUP6EvRSj2-R1rG1mdpmNinomqzSw3DoNtvC_5Lf_UBVI8bq-GkEetDexMCb1q2mOQURxWQqtfEVxCvBMvH_i129XCJojE8xciyc6TSYeGOAVb0UGOAmEP5lH7lwNmINcVrZAzqcUAMpOrHlbmaZ-uIG8r2IlXsP5QoLeAqAEjHaomEVpo13KFw5eA_TuO2atpYB76wF5Yrl_InjYUzoMh5zm3LNS1UNDBTTWHf9DxopHL6gbkzY3FQOjD2u_p4WlNs-JzT0fLrrn_J74xJl-OREtJKiY9f0e0OojN1eTrzAnMBgEnl5s4FjquVJxkWo7ItQ7gTZ8RUPJBuQzfsjZCgY2H5fmKs_8bm3g&refId=DsMizwJrVkenfhn%2BjAjQ4Q%3D%3D&trackingId=rQDNPF6PKN%2FCImr4MCkEmw%3D%3D&trk=flagship3_search_srp_jobs
Senior Data Scientist,"Mumbai, Maharashtra, India (Hybrid)",Cornerstone OnDemand,https://www.linkedin.com/jobs/view/3761569602/?eBP=CwEAAAGMFp-QvKoK4mMPcbq7jMEJ4IirVhyMf-Baka0C4fCPfkevoRlyghwjbPBMpxdDyplASM9VY1okpvVUAYShlyJD1cqZGNuLynFIjNteqhU1fK6UetuVgZ8OYAOxh5-SsS0LIwlmetMTdX4rOFmXWCVdH1t13WxHKnXm_u8TUTdvN_jl78m5L6UffbBSwkbZI_NluEzNR4rV0xLS5Qy4g1Pk1OCj5Pl8wHBnnHUD_2BnVLwmE4tVCHWdKKmkUAUr5gluiu3qqX0Y0W9eVh0z2Z_CVymdk3a6IzWoG4hy-FvCBqpYKHdtkP6NypQt4jV0glmsm0J9cmKyGsM0caicSEbLQnhrtZcBo0C6Ok8Sjl0tB3MBjbRUIGKMDJ-oBKRwT_T9Nw5zdbNKxQ&refId=DsMizwJrVkenfhn%2BjAjQ4Q%3D%3D&trackingId=dr2S31NXxJ2ys2WM%2FhExgA%3D%3D&trk=flagship3_search_srp_jobs
Clinical Data Analytics & Reporting Lead - Mumbai/Bangalore/Hyderabad,Mumbai Metropolitan Region (Hybrid),Johnson & Johnson,https://www.linkedin.com/jobs/view/3774599544/?eBP=JOB_SEARCH_ORGANIC&refId=DsMizwJrVkenfhn%2BjAjQ4Q%3D%3D&trackingId=cEOqh3LBeHoovIsc63LDKQ%3D%3D&trk=flagship3_search_srp_jobs
Senior Statistical Data Scientist,"Chennai, Tamil Nadu, India",Pfizer,https://www.linkedin.com/jobs/view/3748893515/?eBP=CwEAAAGMFp-QvN0125S0mC4qyNcqwtH3oCX38Wq5MNFRdGqoORbWKryijsXmFzVUdiWtqX8LPzz1d9GE23hWh8yOIcVtWgBIzgj6A_Ykyy9e0JPqK7dsk9y-oBOKTrwsCM5yx_wKV_0TkGgCcHqi_Pa7FczeYGXgEQIWMBAP5CIbAMyX20tRP1BN7QrteMNa3CJ_IfHSpWN8CJAKhC1HhFkrllz7SYObX-XX80pZZ963L9kaAhmRKm6qTB8zJ-bnZmPxeOtoHtKN0n7uE4bmzjWwcKCRdmpTW90dI8Pd7CUOXTCrB2Wca9Zcy-SyBASA4Qow3TGoSX5e6TbG6gpUsrjUU8u5vPRgx1GnYeQ_-KqFxQISrw5wfZrTJuRmJS9fda2zYy-Nv1T2hNM&refId=DsMizwJrVkenfhn%2BjAjQ4Q%3D%3D&trackingId=kdkSr0Uuq2Qm8vOarL0ncw%3D%3D&trk=flagship3_search_srp_jobs
Senior Data Scientist,"Navi Mumbai, Maharashtra, India",Teradata,https://www.linkedin.com/jobs/view/3759958829/?eBP=CwEAAAGMFp-QvFrwYwZlrYlK041jumvJG3Ag4Fkarlg8WyCRCKRep3exvudOly7Fe6SjaeX906j2-aNYwWwMNb8-zQ_orLf9VmusLcXixvNSp-QdClI46y0-WCJDgqLI6Mxq6-sLK-odGFXrL7JGo1lDtzyh1Dx_hmgRlhcmaG5Vvmv41-d3nGkEAgyGVSmaSKfkpYJt5yMUk_AogP9DVQKqkj7WEFuUsFzAHENmqvYkZH8x40NbUtvHj8STIoPcfw_tqyQ4BAgBB_sHv0LHP4bUzPt6m9-2kqgjU-tlXAz-Xmu1dwe5FMx6_jmzubohbCoHYM8cH9Qu1zygKRjb7W28k0dU4UG4nioHA42-C7gpg9LlROjF7_g-p4cqB5wz2LG98MNZ6yq4NV6REQ&refId=DsMizwJrVkenfhn%2BjAjQ4Q%3D%3D&trackingId=M1vLVrTYxI4v6E0IkFtjhg%3D%3D&trk=flagship3_search_srp_jobs
Senior Data Scientist,"Navi Mumbai, Maharashtra, India",Morningstar,https://www.linkedin.com/jobs/view/3771035957/?eBP=CwEAAAGMFp-QvOG8_94igbhDpz6MF7UBd9NQuK2UaJSWkui8f6OCJ-Z2dzJeokG8ePICoXGr1-17EMOxszfnNC6bNWLnkghL48Ju_2yeBFGOp_KBmCpY-e4P-sA7lUv7j9zBJnxMB0gVuMc_-hVExCkB-vJb5tvrbhu2f0M55dCYLXhayczufZb7tM0ByihZsn4URb88ma1Hthbv3UG-lHSSDERvO73ayJLoqMhQ1HJRkJok5V3wSMtisWhuyq8AYoGkbNJ85Ke39W9OCr_J0FNFZH10FTzGw1xY5Li1_x7JkKsIhBL1XzxwP1KfI1fxN70zq3_5M6hNtVuzH0XB2CJxNgULRZSrKcj0tTWPxY1SrR9L1T0habrTHRP67OtQ-dFkaj5-KMj0gQA&refId=DsMizwJrVkenfhn%2BjAjQ4Q%3D%3D&trackingId=%2BiLquu4TDr31jsDn1gkQjw%3D%3D&trk=flagship3_search_srp_jobs
DT Intern - Enterprise Data Services,"Bengaluru, Karnataka, India (On-site)",GE Aerospace,https://www.linkedin.com/jobs/view/3774634291/?eBP=CwEAAAGMFp-QvNu5kU0lFwY-z4c_U_xb8vRYf8m8wlsW_TiJesXbXBCLTP_j61YChIAuoO4tGxP3Q0Vm2NVrBNFTF-KqBroxPxnJ1vuuBI_AoPVjnuvO9Z_P_8hSDiVq5fY2IWi5wu_kjqiiMRrVxbUCXouvKphzeDjuN5MvoXBvgTDjO7Zq0xFTZkEd53RCFjluhLXZpu6j5mXrmjW-emy06MSwqNvcpGzdH_E8whVJzACeEajbfe8AOiEzE-6Oot3Q15vIdZrpXsZIjMcZdIuHIjVrpVm9haf9OqbPbNdlAUNRYkU9vMdrDYT7kC_h38X7vupA1Nil9CpM9WFJxv-6vltFny3vfG7SEajbr8yKok8_gpN13EzPXPHzwgcvSr-x8qqEB_TVdYM&refId=DsMizwJrVkenfhn%2BjAjQ4Q%3D%3D&trackingId=nPRs6kREy2X%2FMSuLmBuqNg%3D%3D&trk=flagship3_search_srp_jobs
Principal Data Scientist,"Hyderabad, Telangana, India",Micron Technology,https://www.linkedin.com/jobs/view/3763192654/?eBP=CwEAAAGMFp-QvJmriq0u9YmzDyv1HDOOewZOQx9O6YQ0X6N7MpFTNCvmT7Z_2jHfy0XfsI0om2QZAiPj6V9ALGQa00kk-IkfqLS5eneUajxaBX842gSjIaG1zehxuq493yPRE4Jcxgq6V8bNsrZsha3d_cZVpFlkq-eR_-a2YCDpZr-xp8I8f1toKtXqY_5Qr7-WOH45xXb3WddjqbUShNUF1tXccFPMsxHgiYkXRz_eRl3F_GKV368yM6fjWlV2MbHBRU8LUKEZQodQ0BahQ8X7P2gzh8n7h8whqcB4X-GJ-pS1n22SwiNCd9uPCbZLB9xbT4TlBU4z4-U2gK1qQVPkFGa79MPim7TxcxYuf9Rc63MA0nctuCIoC3gM2bzi_itXcPhjsAj12E0kYQ&refId=DsMizwJrVkenfhn%2BjAjQ4Q%3D%3D&trackingId=lTkT2vsDU%2FGrYEiaRXHsig%3D%3D&trk=flagship3_search_srp_jobs
