Job Title,Location,Company,Link
Lead Engineer - Deep Learning,"Chennai, Tamil Nadu, India (On-site)",Valeo,https://www.linkedin.com/jobs/view/3633360721/?eBP=CwEAAAGLgipjteLaPZhV8_mg7XTY77gfN0sK2HzjBLYlGdzbTFIWCwejoD_s84Gqx__V2cmgSWryhgOHIKx8XFXvq1e4L-2Ul7eGkWQdezznBJMZjJ38i2Ahq4YIk1RbNWBTVFbLScPRuI6mmJDubE36e-Rc1cMEmtFohF_0NbnNmMSHUevVy9pP6j8vPzTh2jGDmZGSRA0Ch6DP2SlNYUvfjjpRgf1g9Lu4VfjOFyCR8FGvb5XRITWGgL1dKTeOB8uoRuBGBwb0r7e5ulUaeaqRHsXck_Hb7oG7fcfz_2MOA1P01V4QTn9T1hyy7AshghqAGoWVxfsFh4H01g9LVSkU0OsL5y3jIe3aCx6MDkqxXNz6X0qRdb1E1hJarUqD-qz7Pg58BQM_to8&refId=b7pZh1TKZNpX0yQ4XMTTzg%3D%3D&trackingId=haD6wau4Vm1Kbmocgqc8Eg%3D%3D&trk=flagship3_search_srp_jobs
Senior GCP Consultant,"Andhra Pradesh, India (Hybrid)",Virtusa,https://www.linkedin.com/jobs/view/3736409571/?eBP=CwEAAAGLgipjtVz3UHMxSGY7X9XMcXcOR6CjIS_41H2tK1CRTivnMJl-LU_ClT_OK16TSs1fxTdKfAtlLUWFUJp158HPwi1S0pfgZ6sKkJN1GsmH4-KB60wHZ1y-6TfJ0v0qQ5PD3RBt8PONBLlLa_i2MWzrpxj78AssUGQqWPNV-KUJqG4aDuHRvlgc7Ae9Wv4QIImZuTycDME-lh6o0RWlSOT7Wc8if14fCbAEitAX5eT4CqaCaj4eseBicjmQ5LgLeONhRqHrYCUS1oors7_RqUZQ8QdC4caonwcnQZjviHAd_1XCD2HS6_UP55zWsAk_uNABhdk3nIfZqPwWUk8rzC1gyuiGAiKjpILmAw-B2oLZj_CyieUsZfHG8Yd318ir8N3xJOKgzx0&refId=b7pZh1TKZNpX0yQ4XMTTzg%3D%3D&trackingId=aL5jyPSdREpAGyde1rNX2Q%3D%3D&trk=flagship3_search_srp_jobs
Lead Artificial Intelligence/Machine Learning Engineer,"Bengaluru, Karnataka, India (On-site)",Xpressbees (BusyBees Logistics Solutions Pvt. Ltd.),https://www.linkedin.com/jobs/view/3734669398/?eBP=CwEAAAGLgipjtfF94ll59vC3E7LpCn1Zk2RUI6XsGQcTwdP0JhemX6Kwkp3s_GpI3MEhRbDyRkPUTuhhEbFrH1kPSnxCNbmtmSHl7JmNtWXNvqIEi2X9SaXdNSMpw7b5pd16gkzHL8Tvc3LrwgAnSiJfwthQ7z6Emhr_6yOFWNZnjUnxmvulDiiVBtPvP_rdUkuA53v_bdNjvF5vv2f9eOZ2D4AAudShTX_rFD4ZUZZMY3VheTf4s0a0Aw6CR2P4s0tw-D7N26rpap9bq4VzgObbsJn1nHcbmjtb0c2lL7SppdvBh9kNbiCv57ke28Fu1RRadEbjRt7kOBbwu7GcdsNj8tCRM_I13hqN&refId=b7pZh1TKZNpX0yQ4XMTTzg%3D%3D&trackingId=dN1LmcVI%2BPfmOporw0Efvg%3D%3D&trk=flagship3_search_srp_jobs
Senior Machine Learning Engineer,"Bengaluru, Karnataka, India (On-site)",OutSystems,https://www.linkedin.com/jobs/view/3625806081/?eBP=CwEAAAGLgipjtYkrFZBCNnS6Ya8D6W15XH9P8nYk3HC4k9nR-PfrWS9p-Goi4sKGnihlUeCDHlEJpAxJUBe1bc21j_fGNbva-U-rZbuvifUxKiPgreSYdDXWD7SQNNby_OgnmyS7gp4uHUpxngMrOeeLK-tGT5Qxuyi3RqekiuvTC3iI-f-dY5amtO5DW4nFII8sG2WLRhv0HFb_MXJtmf7mNITQEZhCsNp6YsX4-Lm5JXdHdJJugGz4tMRNX6MJj2MbVYFkT6qoGhE3v7WebFzUIldgsJzynCWU_Ung_ocsozN4BsplPAd0nOMSJMpdosHM7PFSvQfCFNOmrzi4O9miuhlOEnLkSOLBiSRg0bR7vSARb1x8h1aKax2g9iOre26-ow9jCCz7&refId=b7pZh1TKZNpX0yQ4XMTTzg%3D%3D&trackingId=5Ewz9XlqxKMW01juEtKxCQ%3D%3D&trk=flagship3_search_srp_jobs
Hiring For Data Engineer,"Mumbai, Maharashtra, India",Kavya Staffing Solutions,https://www.linkedin.com/jobs/view/3744687818/?eBP=JOB_SEARCH_ORGANIC&refId=b7pZh1TKZNpX0yQ4XMTTzg%3D%3D&trackingId=T%2F8eQAYYxosEEkI%2FYQogYQ%3D%3D&trk=flagship3_search_srp_jobs
ADF Developer,"Bengaluru, Karnataka, India (Hybrid)",HTC Global Services,https://www.linkedin.com/jobs/view/3731050624/?eBP=CwEAAAGLgipjtXP2dDYuz00p41Fp9h1K6VolhXH96Y_zpu90GLTk7mDCxv4Gh8-4si9GjXCaJKBEjxEmWH2dnz7-V_AG5cVXG3B-6praRgEf-vLnE4rHnPS_IpSIJhNkhManFMacBliMpf3xFgUr5u47U73HgsWfnETCgHafSpPzMKgxmtldiczorNODVMx7SvVuqqZLHdumsna38nDNIn8b6A-wfSygdYlSy8r-_UDrXeogmDtUhChNKw9ytq-wtgmTOhSh_qZj3N5pai89pn5rpD2lJuVa98vzHHrY9iOqRfDPAzCGXe7Nb58CnsndWsDxoigolWpMYNeLlpq88tS4uhMVJX_VdfLPv5C06pl-6UZczRYQ-y9rgPXoLI-aezOgggA-uuwt&refId=b7pZh1TKZNpX0yQ4XMTTzg%3D%3D&trackingId=47YK%2B%2B2k7Y%2BStRhfM%2FPmFw%3D%3D&trk=flagship3_search_srp_jobs
Principal Machine Learning Engineer,"Bengaluru, Karnataka, India (Remote)",OneTrust,https://www.linkedin.com/jobs/view/3711179525/?eBP=CwEAAAGLgipjtWHxCksjjZhhjIGVI6BJR5fE1Jhmxcy8AT8Be2C98_9XsZCCb8bIa9QQblgiF_zcmCDjJUnWGLTj-d_N2NCqcP_Qo37UKHP23rf89a7UZ08_vDYDGnZlCtPrbwqc4vIaB_SFUsnPUb8VmYCpqieWI-2q_n-_Gv--5TZZA-GfqYK8ocvL7tsbzdqctlJ-Ek3hwCdQuwkiSRFfH5S7S4ntev3unM1QkBwG1htzOrYs7SWj2v8P2nVmtMFHQNVHrG133jRdYW4pbPblM1nZvMpqMsEifxMaat_165yW07ZmPowC0IeobKZoA2STzwjgXn72lw2owrahOygoz6FkSR2nISMk5j6_aIhnYOy6wRl37l-ZhX0Fnnqzyce8xSrsybQYrlE&refId=b7pZh1TKZNpX0yQ4XMTTzg%3D%3D&trackingId=IwXJvF4sLzTPz8x5FP3E0Q%3D%3D&trk=flagship3_search_srp_jobs
Sr. Deep Learning Engineer,"Hyderabad, Telangana, India (On-site)",Wavelabs Technologies (A Unit of Veltris),https://www.linkedin.com/jobs/view/3736549379/?eBP=CwEAAAGLgipjteVhN3RAotD5aOwMVdxpwUxE98AZa3qtswFvyTQq60KffnAACrVxR7HfBMKTGpXDln6lUwAn9r7kBiP-kNokW6SE-P0hb9VqcXKrzHYeIuB7FwvHLaUTukhOkOxPcUUmSbe8eUo7xnHS_LjNH3Nsg5ia5maTXofkSgsc5owmiTO0Rn2hdEmMukfMEDKlecQnLA1_Un9JOLGRa37Pk40X5ZxQWNr-2DCuves9I6hKuehS1Xc2F4bsdIysKbH1RA-SzzRgAxdIr_iPUQvsE8ZrqpFr4QHaS67-PV_fBSXi-7A3QHjIoiDf6DZrSaX7MM9QVIVoJXpwb4Yv4J55MjkrZ58ZwvflSEm7&refId=b7pZh1TKZNpX0yQ4XMTTzg%3D%3D&trackingId=oOW4Trboz4pCIexEZOuyig%3D%3D&trk=flagship3_search_srp_jobs
Machine Learning Lead,"Mumbai, Maharashtra, India (Hybrid)",Zycus,https://www.linkedin.com/jobs/view/3741077800/?eBP=CwEAAAGLgipjtX3Bm6LUBWNgB_TJr-QwWAfJxmq80y8DBVxxol1_i5ai2ovHTFzAicG6JttSgr1w8sbIEwOJIhMscWN8wxXWfw4Ds1Ah1OzDMCYqz81etnBtTlFv739o1Ou8dPepzGxZSbVvPnsRIWFHrAZ9Mo-gjhrnxlSfAQ61Cbtm0IjdFnm_YeQQIs1bNcyvsFSCOzKMj44rkATfAeh7IefO_wZmU-l8kDJToCEaNIJxjgMX64rov9z2VhUb-2D1uOCUvqNm8cityYo-nL3SdK5g30Nv0iDV1uvRxDNwgHXNowZjXBD2GsTkjIUkj-E4ThdJNHyHxw2Ivk3ucujtancsguo2dJOa&refId=b7pZh1TKZNpX0yQ4XMTTzg%3D%3D&trackingId=u7LMMNkelJuqlLVvJ%2F4I8Q%3D%3D&trk=flagship3_search_srp_jobs
"Applied Science Manager - ML/NLP/Geospatial, Geospatial Science","Hyderabad, Telangana, India (On-site)",Amazon,https://www.linkedin.com/jobs/view/3655680982/?eBP=CwEAAAGLgipjtc832Mn5bmpIFLgNDNkSmt6vyDG_1-n43Wyg1sq_159Ep8d4nu4tMbyw60MgvO6U78fajWcQ1AVEvlFbGh4S5HTj_TJqtSDhHo5Kz8g-NxRjx-vEW69NTAge6G1OpNKBJoB6V2s6402FYF2vifIK4QuItWUGjSEfKG5J9gsgkmuTwXbqcRDTEikGOGo5N1owrHVXyZ-VxipcnENgzGZ8iI3jLqyuF2fdvolcxfolytKd8iI4ScbrFyYZgyRo7GvpDqdmU512byP23D07Mc2UNFYYVfOohSSeNtOXVuiZrQkOg20e4oj-8peZ3ZqmwE6_UNhBZxr5MMBTcn-ZQogd7h9zB9mZgeGdDjWQ0nVPPmUzaSHHG9OmKzXsesVCah339DM&refId=b7pZh1TKZNpX0yQ4XMTTzg%3D%3D&trackingId=HLI09xDy2YEf8beONKrIGA%3D%3D&trk=flagship3_search_srp_jobs
