Job Title,Location,Company,Link
"Senior Software Engineer (Golang, Linux/Unix, Cloud, Agile Development)","Pune, Maharashtra, India (Hybrid)",PubMatic,https://www.linkedin.com/jobs/view/3742310471/?eBP=CwEAAAGLRMAkYHr28MKnOX6GmZs1zlG55jAWZZupzJ2WfChE2SC0-bOXrmhbHX0zOcL0Y277r6NG9lZ0OmVJHuPJH458MsBo-dLQjii5s3fSd6yV_JQ6S_UiBwv43fnZ3YwDqXZeH2TE9gnViM6cIgBzynF9ViLTLBwkZro6oRXRygDhAmxvAcBA-JH1QgCQSS2oSk5TN0d2ueeT_-UiimLW3g9NW18aWVhxFwqkvZ_KoKgMdQZFVMssImh1T1tsFOZNNP5OyOVeJOt7shhDBeuqMa_2BtdN6rnodhukAsdFxeO3JACP3HwbHKwoIPRe4hEZ_IjQ_CADvh0MaT2weSTCLq_zYnW7A2F7&refId=7ihMbYQ4SWInOjfzIsVHiQ%3D%3D&trackingId=O8RyEAaieob8taWkJESZhw%3D%3D&trk=flagship3_search_srp_jobs
Full Stack Python Developer with React JS (Hybrid in Chennai),"Chennai, Tamil Nadu, India (Hybrid)",Sharp Decisions,https://www.linkedin.com/jobs/view/3742331391/?eBP=CwEAAAGLRMAkYIfJriHvffmLy63oBcOcUn-Qryt7TMBHBi_HH17ACEKOI3J6gJ3num2o2lTVKRnPMmRkbXhZbKukMOYMJcy_zXzyqB2ZEWeWRgf925MmoZ1OqPF1sAjaeXBGQ6Srg4WvhEB06j49gTGn9RBEroA_JD-JMVQh7nKiEK4glrsXm3OQGZbbeNi-7Rq5DCdRZeSIQcHLTWcsgx8fah3pkH1tlYObcH4H_9xJwjwHy6GMP_maT4eEEhbHbkWmO19CV_sD5nScCLn-QWmNhWYelZpReH8YHedlUzAIY8IZU7vk-knTWySKMYcfWigGBs54uHFKwqDZKz1dMz4M66v0fiXwbhKd&refId=7ihMbYQ4SWInOjfzIsVHiQ%3D%3D&trackingId=MW%2FtjUG%2BLj8%2FmTaBDRwYzQ%3D%3D&trk=flagship3_search_srp_jobs
"Principal Software Engineer - Java8, AWS, System Arch.","Mumbai, Maharashtra, India (On-site)",HERE Technologies,https://www.linkedin.com/jobs/view/3670233819/?eBP=CwEAAAGLRMAkYKRJy07NMZ4XWrMkYtIXaoD40v40Exs5_uxEXA5ugEXMkYIrLZzGxAEpQLUiYJY28Xz9LsALKYnyKdYZBvRDZWwYoXx9uCuLWpgX1gErcABP2RKoG8vkGQDrgvNKoxWcAA1S2Fbu29i_mHee5Tiv87xqxeCRAVk8Ba1utetsatIicIbI7IRXvE0YdExfr3gQXSDM3JMoAwJnHqtWvkoMLczBp0Kacd7nbcFEXwX-jKwzkMVpNKMKRbIRiVXYjFDMODmHAFVfagVKAY1LC-1DM5zoig5ofg0tdq8VF6d2UM0P0_hEAV8VRtUp8en2x2yv7Za9xjqlY6LpnZl0MnRqPFgy9FvNk0gairDLR-vnQjrc9Z0GuF95yrrslzJxe4MA7ew&refId=7ihMbYQ4SWInOjfzIsVHiQ%3D%3D&trackingId=fi76FYy%2FTo1Jg5XJphhfHw%3D%3D&trk=flagship3_search_srp_jobs
"Senior Software Engineer (C++11/14, Multi-Threading, Web Sockets, Linux)","Mumbai, Maharashtra, India",Forcepoint,https://www.linkedin.com/jobs/view/3702319302/?eBP=CwEAAAGLRMAkYKOBPCL3yjm7kyyPBZYlUyRuD26Hjj5kDe90fkpbfY3CHfPlPF3IsPRIpaO2m4RBJHvHcE0Hbx3e0geZ9DropKh0OLvbhn1zY0CUUH892c-JOFP2cDeVoWhv2UX6GTfRUBMlHbDtMPt1kDKk9o6YNfReMbeXp6xl8dMe8pQWOpqyzOBEZZaeMMvZEO6GZgtm3VS2eSTpPSKF_q0uKHPGkCHG4fpLg02UtP4CGAwt2tCwlYcT7njOt6234HYwawPSwLnNxaMT2zkTi2fFdTsar4NyYEJlKk2Ly4A8Kz9tk-by9S_AuPeetKvQdFLIq0O6UpdjS2gHVdDYd5vZz5AQ__g1_jphgSlExgaXVpiG0lBgnlm-ouFZX41p9RB_EkQf&refId=7ihMbYQ4SWInOjfzIsVHiQ%3D%3D&trackingId=P7%2B%2FvY5FmSG9kW3nv45mGQ%3D%3D&trk=flagship3_search_srp_jobs
Python | SDE 1/ SDE 2,"Mumbai, Maharashtra, India (On-site)",Fynd (Shopsense Retail Technologies Ltd.),https://www.linkedin.com/jobs/view/3713350776/?eBP=JOB_SEARCH_ORGANIC&refId=7ihMbYQ4SWInOjfzIsVHiQ%3D%3D&trackingId=dmnh9poMCqUckUMMtKTLnw%3D%3D&trk=flagship3_search_srp_jobs
.Net Developer with ReactJS and MS SQL,Mumbai Metropolitan Region (On-site),EisnerAmper India,https://www.linkedin.com/jobs/view/3733164570/?eBP=CwEAAAGLRMAkYG0hgd9v42LwYLvFbm5qKO2M2OVKuyxWgU5cOP9oWbVvaooM2o9sJRfECK9zPJY0vm0b3mAj2cCPLyE9K-GHrJ8lpn4O-N7V94OdDrKcwr95ys4UXD6rLXXwMIZALSZQAtVeW3DEStA6Kli_Vc_2J2ZNEdh5M_ygLbe0u0-DP4GqadktIT5MQZRwPOlIx6_bXRynxfSrRpD-amOZKvhIHHtxjx3pV0F3YvDeGycgv8p5QXxqMD4pdX_qR7GnLd8X666fLMEyTfq9pc-Hro4rxu-Arb0mxdvbzPa8HRHLhax8UOTy_vc-AEwkTHGZx0eJWP5jsajaiMlAYT47pOJ54Ar2KS4pu86Rpew6sfi80mApzzMCV1qwjg5kFRxsBmc_tOo&refId=7ihMbYQ4SWInOjfzIsVHiQ%3D%3D&trackingId=CWNuE7IGaeJk5A0A7vJbbQ%3D%3D&trk=flagship3_search_srp_jobs
"Sr. Engineer, Software Development-IND","Mumbai, Maharashtra, India (On-site)",Ingram Micro,https://www.linkedin.com/jobs/view/3736916828/?eBP=CwEAAAGLRMAkYDTvLe-p92lGhNDw5vi52lC9iS0IoXqi0VHMCbZtXqcbq229X01FTlFJQI7hShpZUD3qbjZ9wNqQn2yuIbjY7BfWjmRRXoOsfYVjdkdVPusouCOSsA6nUZ9NAITRU65PkUyC6Q4F1su_638179723P61MJGFoS6Vwh4vqlF4zZDuMVbgQwxvXRYN4Cen35InZsYmvmtoytczZ8e0M-5QnvMcbffr3dlcZt_ywm_N2LOraliCqsNlNGRnBIDCTs-dAdnrvUAYrM5vthHBEvsEE7Eaj9E95kuAQ-_Bm_ah3V9zJw-v_mjtw7TnQW6Cbu2bfwNwUMNClJkAbSASVSBZCnhpYmzxHl-nPPNQPcI-iKLwnZ1abTQ2Qx_snUn1kO-NR-8&refId=7ihMbYQ4SWInOjfzIsVHiQ%3D%3D&trackingId=seGS8hlXUbRCYXTRhWNB2g%3D%3D&trk=flagship3_search_srp_jobs
Member of Technical Staff - Linux Kernel Engineer,"Fatepura, Gujarat, India (Hybrid)",Wind River,https://www.linkedin.com/jobs/view/3711551608/?eBP=CwEAAAGLRMAkYGmY-hN8PlY0_T15keDz3U9l7Yq71dS_OfBtp3AUUiLIvExMkKFpdj99AW6ImXtfUjY9ORdpOVPlJG_jcDqHeZ2Y6RtSG0y7A89GA7mf1ZcDZNK2XtMTfFa2p2phe2hmOimB9PXUmdPlONrui5kYqp70btkcZwLPeq_98frQQi8mdJ0sTHJlZUgacCpnQUHtYylWa7zBkaRka5DJuhgCWOm64afhYEIibs74eV6NTFtepz-eBpp4petgMAPQHtOdevADhA_fu0ypIb2bvQ2q8wirnJksB6GFsS5_Xe0Ugmm-BE3wIbCvcjf9rbSar6VgHknHPOfcJhLF42ZCkVGT9q_uPVFoqqs0bzWGip2voALZ9jKQYY55PMGi-1c&refId=7ihMbYQ4SWInOjfzIsVHiQ%3D%3D&trackingId=1K471B915sfHGS6sD%2BhXxQ%3D%3D&trk=flagship3_search_srp_jobs
Senior Application Software Engineer,"Pune, Maharashtra, India (On-site)",Oceaneering,https://www.linkedin.com/jobs/view/3579351458/?eBP=CwEAAAGLRMAkYLAEdY63ypINISmi-MQ6cznnf5mNP3H5QOx9UI7YuBPoeOhtMrHaLhfLH2OH-dLgQ0jaQgT6Ta53IPDhNvPPzEslUHcw--aCtGwbCsXNeYcMYm8gWlwYLDqcZjMsBydan2EH26rB2_VJeHp-tv4PU8vPtjczRzvHNEgRoKyRpG4-J0CmzBGVqVYSaejrDMp7Vbc56j9GNzQzLkrZsVis_N2gLZuLD20FmOGtHtHUPtoZZkkWyHu7dPtRAgdyaDc8SSvn2wa5nmdre3U-WSx9FC7qgnSAGQXRNGcAOlpzt5asLDsEL_H7-bKI2yi4bZmyr-EoWRrkh4aFlCdqjr8F1r6r8tYAfGDcmA2UGbLTxuYYLhjA5yhkNuZBcNUDtGPz&refId=7ihMbYQ4SWInOjfzIsVHiQ%3D%3D&trackingId=6J5mFgVFTLB3U03%2F32rauQ%3D%3D&trk=flagship3_search_srp_jobs
Senior Software Engineer,"Mumbai, Maharashtra, India (On-site)",LexisNexis Risk Solutions,https://www.linkedin.com/jobs/view/3729590894/?eBP=CwEAAAGLRMAkYOyMe-hhcTnkPV41715RzX5Sr83cuOZuW_SLz-ehhfgVZQ5nYCQpCAlRzogI6DiUv3wBJwBwlXl2GJfUDLJLxC_yPTJNh3HAMZtc6kLjRYiorCdrA7kxGEQIEzYQeX3tKPYkUNKD0xsAQcyz9Awi5q_Nwy8z0HZNBydqo-9PVAikF1I3CPO1DWUPprwm2S-anuzcQBSH9lsh28YVrYv84AhN-TgYmpHGPk7I0V33cTPBAU7RxMXimm8BUoe0CjSoDN16MG8nDVOkiEB9EO_qLuRMsgVQnVOxgsmQ-2GEwf6f3Uzi3xeho0bKQiTli2Wbx9zyKsvrnyrXmOPBQj7bO30jB79Mz-M0DUO2WZmYaY42kTOgriJ_GKOCKLjE_id5N1Q&refId=7ihMbYQ4SWInOjfzIsVHiQ%3D%3D&trackingId=KABBOffRT0bLCoGZwJn1HA%3D%3D&trk=flagship3_search_srp_jobs
"Python Developer,Python Developer Fresher Urgent Hiring","Mumbai, Maharashtra, India",Memphis Infotech,https://www.linkedin.com/jobs/view/3740088010/?eBP=JOB_SEARCH_ORGANIC&refId=7ihMbYQ4SWInOjfzIsVHiQ%3D%3D&trackingId=qIo42ZQxp9PzE5IqhdOXPA%3D%3D&trk=flagship3_search_srp_jobs
Senior Software Engineer,"Mumbai, Maharashtra, India (Hybrid)",Priceline,https://www.linkedin.com/jobs/view/3618860509/?eBP=CwEAAAGLRMAkYeguI0DpWEegClcSS3Z2HHVlVrFzYOo0ugC_NqeNv5Dj8OthniPqHaLGHg2m_OPtFXs6mnTZca5YDCfXD0ERsBRlKacZIut0mKGGjq4nDXLG85kfHDznk7LHlAlMnevHSaOImPVlYYEibLDmUv_tN-GgzKLS_ndE84f50QZdFD8ImRAmZojvcMvBlkXZ42nkEqeZHVdQeigrs2PlS14ezXqMe1Qdfz7mbgv0gSXd0hwq_z72EngvJI1xkiKqrvvwolO3VCcvd8yLx-A6V5lvKgissWVGKaNHLLLqBxlvKSeq7nO0OrjTQGWbm75l_FY8KH-wb5Z-UFBvTbmab8riNv8ds4nEnaJIQGk6f0tefY8Gpx27Plz1CILIfw0PA_VlbLY&refId=7ihMbYQ4SWInOjfzIsVHiQ%3D%3D&trackingId=EpscBZL3PesXSXk1GVoIWQ%3D%3D&trk=flagship3_search_srp_jobs
