Job Title,Location,Company,Link
.NET Developer with React Developer (AA),"Bengaluru, Karnataka, India (On-site)",Programming.com,https://www.linkedin.com/jobs/view/3742328548/?eBP=CwEAAAGLRLaz5n-Cgh9ZTcclEgMQxn6YEfRfNODo2_flqVu_CiMUFSIw-wVUxqmfXtzTL6ojYgoaKyWWW07_kxD1EvBygs7BHCS5x4amBPr9sSX-r505TowD5or1FM6XkoKWhO03aaZWdnO-ddDfMKATSJ9i9zJ6WimYRyIIPLcaCNlPxrnIoTBxDP_h2-xi67VcMimoeh8QMglxH9dQNIfCqKmKxeo-garf57oNRRh6dCbhwW5u4zVhG-9H9uxM0d2kzLUBQCzDrW-WusqXcHJI35XPOVZsJDrMH_Vd99jJ1SnkKNk4FlCN_AroBHfE8B2I9DrLj9Ufmm-G1TlX3voZuSLCkmazXMk1JWM&refId=x%2Buu5fOUgBf%2Be7YkYH14Xg%3D%3D&trackingId=WhubuJmh32Vsy5IvscKhdg%3D%3D&trk=flagship3_search_srp_jobs
"Technical Architect - Java, MEAN Stack","Mumbai, Maharashtra, India (Hybrid)",Marsh McLennan,https://www.linkedin.com/jobs/view/3732555680/?eBP=CwEAAAGLRLaz5ih7zzdMQD1xiP8iw4MUFPujnKDX0yNxLpm85CYpymJILgCMURBEyIWfhJrbhfv3VdNl_aDXOIce76bi-32M_M4jy2sySQ2c_zZVqgRkS05NcSAhEf2fQJbyLvSA0tSa-QxlAq-74Vs8BQZ5XhR76WjQH1Z8ovMClW5hTxbWdI_iUcbVqtgY1eDYwxMlFNLBntsSxnt9VZ_b749fvIO5SrLmGsQ0PgDcJIjgnD10KX6GEa2jBinvAzyyg0wepBjGgbgawyWciGRLq30I5orIm_lcmONbgKchBJ8byoSPb9-3AJpGF7VG7ZWfADCFiKkzbTPOrJNblATQv8GrFdjdrFaleufaritkOyrrhtwzaAaCShvlMxmNDH-8dMUAOnxAyojzt50q&refId=x%2Buu5fOUgBf%2Be7YkYH14Xg%3D%3D&trackingId=1Kg4%2B72Y7oz6VgcPY0ujaQ%3D%3D&trk=flagship3_search_srp_jobs
"Principal/Senior Principal Software Engineer (Java, Go lang/C/C++)","Pune, Maharashtra, India (Hybrid)",PubMatic,https://www.linkedin.com/jobs/view/3742311453/?eBP=CwEAAAGLRLaz5krx_uqHLPFPAVzfQ6e9XzVo0cUku3a2KvtW7AXBGCiXmjxsPeYfWUfJzhj4wRyP2YADiaFnfb6MWH4Eba95rHnbXhbDLjO7-CCJKwVMjXk6A1-sjGqhMjJMddUweuS0N4dRtdUVV_GSLGqiDx7sD0lxp9dJXGml6uWHDvTNZeTw8kZiMJrpYzSzTXwEzgFH6z5gb2FzxVVw1B3y-0S7AGM7nNCEHz5WEIF05kVa_Ps2dZgMsGBPVy5YL-mwW-BBokPfDJKV4kEqQ7viFs0hmwMZRK4Y8Q5V7ijiCmFQU8eRTlFSd4Eop2W3DO9EHeUENSCwr4bs5C8ZngV0QqoUytcTsacVRQ&refId=x%2Buu5fOUgBf%2Be7YkYH14Xg%3D%3D&trackingId=kGcAR7ThMqTkdRfTkpDX9A%3D%3D&trk=flagship3_search_srp_jobs
Senior Software Engineer - Full Stack,"Bengaluru, Karnataka, India (On-site)",DigiCert,https://www.linkedin.com/jobs/view/3743117380/?eBP=CwEAAAGLRLaz5hxFBkopdfSJXhMXWGu-jHZjRPAHb4JfnZ1twRV-yN-rXmczR0hpFQNAPerJvxEiaN2KWf1qfdbTS9Kxxwb8sXs2eUqYMDJl1DwpLALa-yx47BdoUCsUx5FPnBNBPtQA1Ip8MPrXJMP2Rx4cr85nrkDC0xd_Et0VT555XrGXP9hHicIm7nhsqhl0ypJJjH44IT4QeqT8dSMtTaNFqchVOGQ9R7m8TdTFg9Ykap03Wd8UFp_yvaQaJ5ibFNOZjRUmmC_Wkpb47o2Vk2viNnJ5RNtAi4OJzbwQ6Xr5tZ37VuK6I5Ay4UHHyL664u4JHz9S3vRQ677zMRr6BnIntC-gEjqgmzhTkg&refId=x%2Buu5fOUgBf%2Be7YkYH14Xg%3D%3D&trackingId=6X6zs2adZ4GEYsSdbWLDaw%3D%3D&trk=flagship3_search_srp_jobs
Technical Architect,"Mumbai, Maharashtra, India (Remote)",Salesforce,https://www.linkedin.com/jobs/view/3741758611/?eBP=JOB_SEARCH_ORGANIC&refId=x%2Buu5fOUgBf%2Be7YkYH14Xg%3D%3D&trackingId=HCbHne6jSeA9Lpfe8Oiw0g%3D%3D&trk=flagship3_search_srp_jobs
"Engineer II (.NET, AWS)","Pune, Maharashtra, India (Hybrid)",Accelya Group,https://www.linkedin.com/jobs/view/3727010746/?eBP=CwEAAAGLRLaz5sUX9jWtenJd9tZLiSFF_lsN-QzRbaeTti3dn6wm-ILeI5FomiFjDnnlSTJfG00L5Dl45AEVIGkLqdbQaadXep6C1ez74WbUX6mW0rYRUOmUKsuxyw_znxh1GZD0uH4gOZslEZKoeslmH1BCdcW73mhWrI5Jc5FPx7w6-vr-luVi8b9-8Dxb-CEdWlcB7tCC7kfMHgI_HNCZLQbPmsZq8RIeyosnUzB9AcBIZih3hnsQX18H44APtnqy8Tw1fFB4X870j_rHyfB2XNfWjJWDN1MO1TBUGVdk4vEW18hDj2lsg8rn_6z-4h7q654lvZl2-V-NKqSnqXF68_t5qmVFov3s_1NebzCLbaNhnu2Gz1pY8FtLbPU8l_MuRaw22253lwb8rg&refId=x%2Buu5fOUgBf%2Be7YkYH14Xg%3D%3D&trackingId=x6vCvjahunuvHR0LPHaX5A%3D%3D&trk=flagship3_search_srp_jobs
ERP Solution Architect/ NetSuite Technical Consultant,"Pune, Maharashtra, India (On-site)",PERSOLKELLY,https://www.linkedin.com/jobs/view/3736226698/?eBP=CwEAAAGLRLaz5qxjAv8QqcRsDIa9h29YVsfw9mCPi4gc2DTWo_QOpQcaGM07fQOXEjGMxbfn0yOH9PNMpa7BXrQ1Wbm15IdBuYiH322_Kd_oaFn5fsEamFqkkDBt5dsEs6dx_QlytJ3SGdE_jiXG0vnKMbwlcp3vjPbWHWClCSvyUll5TtHf9YztnmC_KqztaA4vThtErNDVMwDT2hh4-ZL_tekIrTTrMtyDjxEcmUj7TwMg_qsj0WfzJg1LfBmjkmHC_bTkDjp9GC3PSg8mZDvi0gj-s9IGTAkv8aU_BVG3ePy3tve8_r9i0h9dmJyOVS0oS2BstLfk-8El0hLRutlN1r8s8a9xzqL6t_AwejRgJ6N0IO-l7RyqXKLASQffOtC7vGll9Be_IB5Vvg&refId=x%2Buu5fOUgBf%2Be7YkYH14Xg%3D%3D&trackingId=50ESD4hnaiaR%2BflJGLKknw%3D%3D&trk=flagship3_search_srp_jobs
Sr Software Engineer,"Mumbai, Maharashtra, India (On-site)",HERE Technologies,https://www.linkedin.com/jobs/view/3684684629/?eBP=CwEAAAGLRLaz5khlABPePN35iS4BPbKx56feprcM5UYxF_ybjt34dW1FQ63SVNiMrqVFyLOWLRuvMJrNRzf2XabEg6AcYoe0tigH6R6lOR1RTBfJclUqOHiol9O074rZRQ4ND4bNdDFqkDyHY88Naa6d_c0raqougAvgwidMs382jvhw_DhWsFOGMvW-qTd70Cuf2hZRmv1w0eueyWLPkAOu9l23HEBeg9xcdaFFnwejUFKTTrVWyAX197g0eL1-OidPCCblxAdz5EJckEaYJubfbhhq67czSl4J9izO0rqiTQ8L2q7cWmJv029kHAtt1ZomLwr8ftx8MRvT3cOODWCo2dQ62BTZKYAcPVqbyxdPeYg7jcBTZDaMlpuIZZAAoTEGRWgXTT7VbEa-H6tI&refId=x%2Buu5fOUgBf%2Be7YkYH14Xg%3D%3D&trackingId=6p9Kgpp9WFFOJYlg0BedlQ%3D%3D&trk=flagship3_search_srp_jobs
.Net Developer with ReactJS and MS SQL,Mumbai Metropolitan Region (On-site),EisnerAmper India,https://www.linkedin.com/jobs/view/3733164570/?eBP=CwEAAAGLRLaz5j1-hDm7LXVU_-gaWh7qPGsVMGw9sYSrkdxu_wbX9RLXnY-t6wKIu5ncSO1QwuEcEKArRhGe8CknMe4pdjlHo_teIdOlHIJj-ERyo_a6_SAgtLYvfkqu9CoBqjWR_DQkzfD2Byixdu2h9b07bMcFPDoScKFuPzpItIsLNTUnOBJkwNqOX49lqHlw_hUIvLngbcO1us0N5kFhfYzaOQqWJo_6Q6ZIG4x5fs0XO7mxE1zNg_ljAEXKNKLRzBx_iACxNjbiSl5rBsA3O5-kK-lp9PdPgO38cRf4gt7AdCq-K0TWDzf9oS7AHVwNk7mEJ5fc9QQw2VxV5dc4jrfuRu8qzF1Y_iiz_byA-K9BIIgilSE-4KCShiFcJBHREqZa9GpVXRu9dPTm&refId=x%2Buu5fOUgBf%2Be7YkYH14Xg%3D%3D&trackingId=U5wdJsn%2B34V6PABS8fVeyw%3D%3D&trk=flagship3_search_srp_jobs
Java Architect,"Hyderabad, Telangana, India (On-site)",HighRadius,https://www.linkedin.com/jobs/view/3740054049/?eBP=CwEAAAGLRLaz5opihr1ylxYzIf02YlfgtPi1ZTr6edwHQzyRkpVMw-Ob7ctvp160UihvMwlOtbfaGJi9KPUtBhxh4Re0JJ7YcS8pmiDR2Q4FB7kfBUXpwsa8pXidO2hUKB3cpLPlt-B71PbBwLvgagv_51abFuOlBRrsZoAmrgAACvW7tkrT7u-Ql2TmfEaEjrjdvN4h-Esv_hHceN7albtD7ttx8v6vHBK1bwjG4caTqNwzNl8XqXvwolEUqkp8eTRTfR64iKnseuhSjviewlOwQkE5eC-SxuZl346EgN7KbJiG3fIQAVCB_L2K5tU_DT3J1BEqDD4a3JyPulv33q5mlwaFIyGkc9zdyj4EHoJU4DqcYS0WRWWq_GsO1cQUOvs7dBZtVfzLxIES-_oR&refId=x%2Buu5fOUgBf%2Be7YkYH14Xg%3D%3D&trackingId=foqfUm3ZAxvJK6Pj2I38uQ%3D%3D&trk=flagship3_search_srp_jobs
