Job Title,Location,Company,Link
Senior PHP Developer,"Bengaluru, Karnataka, India (On-site)",POTENTIAM LTD,https://www.linkedin.com/jobs/view/3703004609/?eBP=CwEAAAGLQr-4cPuPSyN7BaNQFYTGjo3V9Z1szLplmxMNy-D1wrnu940rC6vIf4GOguoS2UlPwxpQuIlusf_PKbTVljB37Ox_2HmRFWbdXDUWx0Yot4Lvjks5iD9IVYuZs4bwa-JWRyuRFIHvLCeXGZ3wNwpKb7uNsOyK6V2dH6eA4ZeA0OhMeWdooV7Pawl0Nd0VRjonIjlRl36HqpXYX2WkHA1nLyK_YngB3X0FmxaWa2dowtslkzwIzZMyR6o5a9c5VE3FzxWNmdaKjkauGbcS5TWMPBd7rubdbUUYzdiSJc0NgqdYYV2Kl7fYsk6Qw-Dvk2u2ueBMSBmFWD_kRZ7_sTYX0557TbzF8GDy1i5MQRi-qNSBE7yKIZqcOkouJar_GuRbKZqM&refId=5s4mMBV73Na5hZCIEsYqgw%3D%3D&trackingId=hzY96NsaiTwDj%2F7nSdqWJg%3D%3D&trk=flagship3_search_srp_jobs
"Looking for Senior and Lead Backend developer (C#, Typescript, Azure, Kubernetes)- with a Sweden based product company- Pune !!!","Pune, Maharashtra, India (On-site)",Seventh Contact Hiring Solutions,https://www.linkedin.com/jobs/view/3741795341/?eBP=CwEAAAGLQr-4cByLjMIJV4XW1oX4L1QavizaW9DKe1f4vP1xU5hIj362waeY2jhz14e7ulMih9fzEiU-t0fMyqsl7vryxWnN3U6kx5Xa5g1mu7X0X1DMmykIl1zLUxMi-valN1o_r5LCQr614mUsA_A_082pyzL9o28vqesnBEYtYqtKzbUjOwJXywM_dRp6VMtM3As8o8bckLQZs3u4oKQjeh3hg9DGwudesoeUA4JResfd4XbMDVDhRBZhCWwuR1NDmCS5DA1WCJPLooSolPpcexGzuwiI9M4xokcK1tPK3BjHDpKZdazDXufviNsdHMPAyvZ13Yucoc18MDY-zksk-wPpq9ss1bS7E8o0raAnK2rPIiqsuuw4KQIE1TMiGfIFnFbA_s-zFb8&refId=5s4mMBV73Na5hZCIEsYqgw%3D%3D&trackingId=yZylNpbyvJIP5K2HgwgJ2w%3D%3D&trk=flagship3_search_srp_jobs
PHP Laravel Developer,"Indore, Madhya Pradesh, India (On-site)",GFL Recruitment Private Limited,https://www.linkedin.com/jobs/view/3732519115/?eBP=CwEAAAGLQr-4cEPPysKB8Rh1C6Py-X8FeViUib_RJosiYTCtfEoYlWPLHxegDSsvq9culiHhsQCbI1hF8sn8NYpr-1El3_e8fd3b5efftzPKOo6cUgI_1SQGD2JWKXoNHvWmdebI4Ulde2prxqEPgBgIuoRzMcu_d2JJHqrDJ7PRICCuPeimQjceFIPtkHynhluWsmnVRg7VEw9VkoekQwH0fs3Qv1cUwq7FBsqOCXFtqOzGpszvB81jvAImrowL51ts--CRkNkzkbGQLXm6nsh1RGQmLwBgkaR0iDQCKTGui8mL_CsUY4ZW6pomCFQGg1hX4xg_v-q8qFU0WAzp4PcdlBZxfLxGyXMKX_Fmwj9eOHUzrpE9opnf3tw03MR3PrNcWeQ4EKaZctw&refId=5s4mMBV73Na5hZCIEsYqgw%3D%3D&trackingId=PrGx4pl5Bqfm0SQBbbMe%2FA%3D%3D&trk=flagship3_search_srp_jobs
PHP Developer,India (Remote),Supersourcing,https://www.linkedin.com/jobs/view/3736650247/?eBP=CwEAAAGLQr-4cCZluZieLNC9-1XpIzO7Y3yxLXQUs2o9UpRh8crEavhQrosZw8uXGCunjlZtc1iqpo9tEnknAS-eylxBnG3Ggo4VOaJ-aLhu6XzA3n1S1eiFnoRkaIkTq32Ud5PiRU1Q5wkJTEpzH_K_V6o7Zap8dB32JfavGiBV_jhA3FE88o4gzNkNwBU1CXizBkUJ2stCJ6r941jqTA26APoXbE0ssy1RFkJBZLNO3V9qvZh5l360hEIWy72rAVx1oIE27SGFRSBTaUFCGHbKHB7oSrY_DsU3Wct0rIPGMhh05l-kj6p-v0lJxDML62oLTUXKxZO07M6LCIu8sbhJnwBfPPD21-NrYKQjdvBeE3ioxPs6HpOdbS1_BJAhoVzCyG9gfRQMVPE&refId=5s4mMBV73Na5hZCIEsYqgw%3D%3D&trackingId=x8EX98R4AFrqM4lehBVOOQ%3D%3D&trk=flagship3_search_srp_jobs
PHP Developer,"Surat, Gujarat, India (On-site)",Codewinglet Private Limited,https://www.linkedin.com/jobs/view/3741400691/?eBP=JOB_SEARCH_ORGANIC&refId=5s4mMBV73Na5hZCIEsYqgw%3D%3D&trackingId=Gm9Gxh%2FZ14hpnqCMSYs3mg%3D%3D&trk=flagship3_search_srp_jobs
Senior PHP Developer,"Pune, Maharashtra, India (Hybrid)",Synechron,https://www.linkedin.com/jobs/view/3731688824/?eBP=CwEAAAGLQr-4cFPSpctIxOPBZw3IA7KOLf_4Ac5KXSsEURPvwWURZ73x4CD9oGSLYNT3ELeVIULoBGHwOSXD6xz8IrxeFrO-mZtG1B_cGLVKjLj-26HEA_4W0QhS_ZaWH026Fel_FICAZK_kE7Cx-_CBSoZuUnHFjirVXx_6xNzTzEVYUXVgm7Q4XXYrIKlrNMxCrXnXVHaAabYDLX8LwHgk7ZJ3gdumWF14rzU5uQ99YXWJmTw1jPRduq0FYMbBqXCTrl7TwLfputlj2LZq3koVuVKSYcFrFmiWWnrsP1IjsHyAgALvYyod2lrr9bIMiDZaruY2L4HV5umHKoLlWt66r-VGrNqjU2F8&refId=5s4mMBV73Na5hZCIEsYqgw%3D%3D&trackingId=2Ov%2F5xPop1%2F5WiG7KWsQ5Q%3D%3D&trk=flagship3_search_srp_jobs
PHP Developer for Digital Agency,"Navi Mumbai, Maharashtra, India (On-site)",Talent Corner HR Services Pvt Ltd,https://www.linkedin.com/jobs/view/3740816864/?eBP=CwEAAAGLQr-4cKlKr7yGPNGD_NlvudetdYegm3hCFVypnXqd9kYopfTHa5z_5OrEP__wq-vNx2mGBL5L2OcRbe78h4g0mWoJK4vQih75zohbtTS4Ze8y4h6bgCcBCNr7UcM7Zk_sh8X7PA3EthZ683DyOkm-Iq9RGf6BmkvsxPDG9sc7uhV3jrDCzBGzvWQOg0JpOyy6IqpobD_TcdEkxS1gGsSrIA7xePhucKmfEA3EfmxKE_CNJm64qdyOsDJBj-pYVCZtuGMV32lxV8LADbQ7gc-Bp8_4qUr87jJ_BsEgyj43i8F_rpq6hm3Sss4H4LUpjGKNCqRC-OGmRjrJqI7qv6t0BBHSQfFaAz16QN-KlsN5I-p_DnaliQmkP8Zi4WaKXOZxNbD8Bwg&refId=5s4mMBV73Na5hZCIEsYqgw%3D%3D&trackingId=vptjfAbZ9a6Jn0PenMeaDg%3D%3D&trk=flagship3_search_srp_jobs
PHP ( Yii ) Developer,"Gandhinagar, Gujarat, India (On-site)",DRC Systems,https://www.linkedin.com/jobs/view/3732788558/?eBP=CwEAAAGLQr-4cNe61gMzg4HvUnixsgxNtuR7ymFkeO2rGpBt2VZmQBe-Mo3rt5gOWzz63zyWkeD49kz-nISZh66yZ7gSVj0m0zpkunatvVutfqmUaKfgRTtW7o9swWG1E2Wu4XPS_gfta1C9BS73fDzJlBLOwu6A4SnU05SrCiZys7MWVAXc0V6dBOdjTNspn9QNTjghF8p1zIXTDuW36iZgZsIz_-kUhcRlgp6OXJddsbM1-r2wfTyyXgpcU608LUAcjBgrq8fWpiVQGcNdvhuNZe2giE5JaObKEQbweVOgMc60hQyzmkgf6deAWyxblniVOgodO6BKAmyNfl_D5N_UtPoxqVZGzWw_&refId=5s4mMBV73Na5hZCIEsYqgw%3D%3D&trackingId=RJQn5%2BiDeBIqlhj5WUqIcQ%3D%3D&trk=flagship3_search_srp_jobs
Senior PHP Developer (US Shift) (Chandigarh/Bangalore),"Sahibzada Ajit Singh Nagar, Punjab, India",Zscaler,https://www.linkedin.com/jobs/view/3738358237/?eBP=CwEAAAGLQr-4cPFw8CUvR0uTzEzPgERpug9aRP6zoRfpcZoI2yqBPA1-JM1RRcsIcqx0M96XNCPt2qtc1gCxOQ3wAkcbwHijfbcZG7i21J1b1cUHX04obuzf3IJW5iFhUMoA9Cj869GT1G1n2kQmxD7bKeUlW0EFFyV_k1jTxNZOyN5nJB5v4xK7ClN76hG3LzPO1JqyTcboKpPm3KnBeAsJSBXfpRflWoIxCtIVMBodjjAhNtthvnEr8s0DV3RUYNuSycrrxs9AjY0qLZcl6bZVayae-9XfPeR8imh3dh3LirBF10OgYrWNf6s8xmxRGnndCuc7GT3Kqlj2JuYZ0UOkElIac6HsS27156EjJayilRL3UyT0jQB7EqwItvTXgWcXeyPnRyqktfU&refId=5s4mMBV73Na5hZCIEsYqgw%3D%3D&trackingId=hBoQPupJxR2RlYqQlfOYjA%3D%3D&trk=flagship3_search_srp_jobs
Dotnet Developer,"Mangaluru, Karnataka, India (Hybrid)",Hexaware Technologies,https://www.linkedin.com/jobs/view/3740573878/?eBP=CwEAAAGLQr-4cPNJSvyLx1deci5MX_8AySg4ZRjX344xmVxUI8AwBWN1hU1qVgTyte6_W7VNY2cbhlRDDjCqqW9M-839N7xrw6LS7SjiI_Qnxg_u0QfoiWq_QcLBrP0AJdgpxAxMPCvCawZrF5BB1J14A8fLEAN7rYlTA5yWIJh0ufCsJe17b49n0ZamUoSQU9OGjdY4yqLdqQGwPw7BYtUn7faPDQ88LX-p0WmgFF14PNyyTHR4OWv60ynHh_HVGw23MhYAto_ENqpoJPJhoyWgFL2IN9w62fqIzCGmuPhZgHY3dVhJ30seYBVsFuSMedUURoh3POVRUJb1ZToLUDb9mojd7J3eTKCA&refId=5s4mMBV73Na5hZCIEsYqgw%3D%3D&trackingId=F%2FMYBtHiRKNqFlKty92m9g%3D%3D&trk=flagship3_search_srp_jobs
